participant,target,outer_fold,outer_folds,outer_train_size,outer_test_size,low_count,high_count,selected_classifier,selected_feature_family,selected_channel_subset,selected_feature_count_request,selected_threshold,source_trial_index,true_label,probability_high,fixed_threshold_prediction,optimized_threshold_prediction
P15,arousal,3,5,90,22,23,89,logreg,paper_compact,all_channels,10,0.5,0,1,0.41677921732197004,0,0
P15,arousal,3,5,90,22,23,89,logreg,paper_compact,all_channels,10,0.5,2,1,0.5467817782067398,1,1
P15,arousal,3,5,90,22,23,89,logreg,paper_compact,all_channels,10,0.5,3,0,0.4234558353175058,0,0
P15,arousal,3,5,90,22,23,89,logreg,paper_compact,all_channels,10,0.5,6,1,0.39001755332315824,0,0
P15,arousal,3,5,90,22,23,89,logreg,paper_compact,all_channels,10,0.5,18,1,0.5245613537701369,1,1
P15,arousal,3,5,90,22,23,89,logreg,paper_compact,all_channels,10,0.5,21,1,0.44759265616023913,0,0
P15,arousal,3,5,90,22,23,89,logreg,paper_compact,all_channels,10,0.5,27,1,0.5534761391823941,1,1
P15,arousal,3,5,90,22,23,89,logreg,paper_compact,all_channels,10,0.5,38,1,0.5443372071612973,1,1
P15,arousal,3,5,90,22,23,89,logreg,paper_compact,all_channels,10,0.5,40,1,0.5397896995857796,1,1
P15,arousal,3,5,90,22,23,89,logreg,paper_compact,all_channels,10,0.5,55,0,0.6847457207111288,1,1
P15,arousal,3,5,90,22,23,89,logreg,paper_compact,all_channels,10,0.5,61,1,0.6562342569078976,1,1
P15,arousal,3,5,90,22,23,89,logreg,paper_compact,all_channels,10,0.5,67,1,0.46989820602861404,0,0
P15,arousal,3,5,90,22,23,89,logreg,paper_compact,all_channels,10,0.5,71,1,0.5592418525189627,1,1
P15,arousal,3,5,90,22,23,89,logreg,paper_compact,all_channels,10,0.5,72,1,0.4921156637241019,0,0
P15,arousal,3,5,90,22,23,89,logreg,paper_compact,all_channels,10,0.5,73,1,0.5196416441197664,1,1
