mode,participant,held_out_participant,target,modality,classifier,feature_count_request,feature_count_resolved,fold,best_parameters,inner_best_balanced_accuracy
general,COHORT,P43,valence,eeg,knn,20,20,9,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.5278006549224951
general,COHORT,P45,valence,eeg,knn,20,20,10,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.5022562920884299
general,COHORT,P10,valence,eeg,svm,all,all,1,"{""classifier__C"": 0.1, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.5
general,COHORT,P11,valence,eeg,svm,all,all,2,"{""classifier__C"": 0.1, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.5
general,COHORT,P19,valence,eeg,svm,all,all,3,"{""classifier__C"": 0.1, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.5
general,COHORT,P22,valence,eeg,svm,all,all,4,"{""classifier__C"": 1, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.5102587003922603
general,COHORT,P25,valence,eeg,svm,all,all,5,"{""classifier__C"": 0.1, ""classifier__kernel"": ""linear""}",0.5113219275686205
general,COHORT,P32,valence,eeg,svm,all,all,6,"{""classifier__C"": 1, ""classifier__kernel"": ""linear""}",0.5034653539295249
general,COHORT,P40,valence,eeg,svm,all,all,7,"{""classifier__C"": 0.1, ""classifier__kernel"": ""linear""}",0.5128617942826912
general,COHORT,P42,valence,eeg,svm,all,all,8,"{""classifier__C"": 0.1, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.5
general,COHORT,P43,valence,eeg,svm,all,all,9,"{""classifier__C"": 0.1, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.5
general,COHORT,P45,valence,eeg,svm,all,all,10,"{""classifier__C"": 0.1, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.5
general,COHORT,P10,valence,eeg,svm,5,5,1,"{""classifier__C"": 0.1, ""classifier__kernel"": ""linear""}",0.5006632542715017
general,COHORT,P11,valence,eeg,svm,5,5,2,"{""classifier__C"": 0.1, ""classifier__kernel"": ""linear""}",0.5
general,COHORT,P19,valence,eeg,svm,5,5,3,"{""classifier__C"": 10, ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}",0.5080593057071795
general,COHORT,P22,valence,eeg,svm,5,5,4,"{""classifier__C"": 1, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.5132230806851951
general,COHORT,P25,valence,eeg,svm,5,5,5,"{""classifier__C"": 10, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.5002285988306048
general,COHORT,P32,valence,eeg,svm,5,5,6,"{""classifier__C"": 10, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.5175275754427194
general,COHORT,P40,valence,eeg,svm,5,5,7,"{""classifier__C"": 10, ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}",0.5056688466052932
general,COHORT,P42,valence,eeg,svm,5,5,8,"{""classifier__C"": 10, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.5235231119916623
general,COHORT,P43,valence,eeg,svm,5,5,9,"{""classifier__C"": 10, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.5172786173856398
general,COHORT,P45,valence,eeg,svm,5,5,10,"{""classifier__C"": 0.1, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.5
general,COHORT,P10,valence,eeg,svm,10,10,1,"{""classifier__C"": 1, ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}",0.5002579730815334
general,COHORT,P11,valence,eeg,svm,10,10,2,"{""classifier__C"": 0.1, ""classifier__kernel"": ""linear""}",0.5000563221627711
general,COHORT,P19,valence,eeg,svm,10,10,3,"{""classifier__C"": 1, ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}",0.5012187499999999
general,COHORT,P22,valence,eeg,svm,10,10,4,"{""classifier__C"": 10, ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}",0.5038079021137665
general,COHORT,P25,valence,eeg,svm,10,10,5,"{""classifier__C"": 10, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.5120397814782008
general,COHORT,P32,valence,eeg,svm,10,10,6,"{""classifier__C"": 10, ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}",0.5046088578156168
general,COHORT,P40,valence,eeg,svm,10,10,7,"{""classifier__C"": 1, ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}",0.5047830416098942
general,COHORT,P42,valence,eeg,svm,10,10,8,"{""classifier__C"": 0.1, ""classifier__kernel"": ""linear""}",0.5211105486373324
general,COHORT,P43,valence,eeg,svm,10,10,9,"{""classifier__C"": 0.1, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.5
general,COHORT,P45,valence,eeg,svm,10,10,10,"{""classifier__C"": 0.1, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.5
general,COHORT,P10,valence,eeg,svm,20,20,1,"{""classifier__C"": 1, ""classifier__gamma"": 0.1, ""classifier__kernel"": ""rbf""}",0.5042086717912581
