condition,target,task,n_all_three_windows,unanimous_agreement_rate,unanimous_high_rate,unanimous_low_rate,disagreement_rate,majority_vote_high_fraction,class_agreement_1_2,probability_correlation_1_2,class_agreement_1_3,probability_correlation_1_3,class_agreement_2_3,probability_correlation_2_3
ICA,arousal,pick_place,35,0.0,0.0,0.0,1.0,0.6571428571428571,0.34285714285714286,0.05433461411554465,0.6571428571428571,0.1617913722060567,0.0,-0.8201287662894373
ICA,arousal,shape_sorter_alone,14,0.0,0.0,0.0,1.0,0.6428571428571429,0.35714285714285715,0.2229700843814932,0.6428571428571429,0.7371817326361415,0.0,-0.0793644394706839
ICA,arousal,shape_sorter_interaction,74,0.013513513513513514,0.0,0.013513513513513514,0.9864864864864865,0.3918918918918919,0.527027027027027,0.27370591216551027,0.40540540540540543,-0.2582245455370105,0.0945945945945946,-0.6323491591468704
ICA,arousal,shape_sorter_observation,54,0.018518518518518517,0.0,0.018518518518518517,0.9814814814814815,0.5185185185185185,0.4444444444444444,0.06517669494379924,0.5370370370370371,0.046099115951703205,0.05555555555555555,-0.09672628098327794
ICA,arousal,sisyphus,47,0.02127659574468085,0.0,0.02127659574468085,0.9787234042553191,0.851063829787234,0.14893617021276595,0.0921037913771049,0.8723404255319149,0.2781267904145598,0.02127659574468085,0.20278823516970831
ICA,arousal,stack,64,0.046875,0.0,0.046875,0.953125,0.46875,0.53125,0.08795640308378483,0.515625,0.10705284413438533,0.046875,0.0014366716623815448
ICA,valence,pick_place,43,0.4883720930232558,0.20930232558139536,0.09302325581395349,0.5116279069767442,0.5116279069767442,0.5116279069767442,0.24278386125106519,0.3953488372093023,0.3432246931353282,0.5116279069767442,0.39024572006740915
ICA,valence,shape_sorter_alone,15,0.4666666666666667,0.4,0.0,0.5333333333333333,0.9333333333333333,0.4,-0.07821632812065725,0.9333333333333333,0.14612987154842025,0.4,0.5040815207741398
ICA,valence,shape_sorter_interaction,83,0.43373493975903615,0.3253012048192771,0.0,0.5662650602409639,0.8795180722891566,0.3253012048192771,0.03006949511849484,0.8795180722891566,0.14404426522551628,0.3373493975903614,0.1994736706532763
ICA,valence,shape_sorter_observation,63,0.5555555555555556,0.4126984126984127,0.0,0.4444444444444444,0.6507936507936508,0.5555555555555556,-0.31977548591105026,0.5396825396825397,-0.18598780125552608,0.5873015873015873,0.45981971807652644
ICA,valence,sisyphus,88,0.8181818181818182,0.3522727272727273,0.0,0.18181818181818182,0.5340909090909091,0.3522727272727273,-0.17648487815806452,0.5227272727272727,0.17311131120833279,0.36363636363636365,0.4207825469749442
ICA,valence,stack,70,0.5571428571428572,0.42857142857142855,0.04285714285714286,0.44285714285714284,0.7,0.5714285714285714,0.07930921413278434,0.6428571428571429,0.385615580272316,0.6428571428571429,0.4438890032089945
no-ICA,arousal,pick_place,35,0.0,0.0,0.0,1.0,0.6571428571428571,0.34285714285714286,0.05433461411554465,0.6571428571428571,0.1617913722060567,0.0,-0.8201287662894373
no-ICA,arousal,shape_sorter_alone,14,0.0,0.0,0.0,1.0,0.6428571428571429,0.35714285714285715,0.2229700843814932,0.6428571428571429,0.7371817326361415,0.0,-0.0793644394706839
no-ICA,arousal,shape_sorter_interaction,74,0.013513513513513514,0.0,0.013513513513513514,0.9864864864864865,0.3918918918918919,0.527027027027027,0.27370591216551027,0.40540540540540543,-0.2582245455370105,0.0945945945945946,-0.6323491591468704
no-ICA,arousal,shape_sorter_observation,54,0.018518518518518517,0.0,0.018518518518518517,0.9814814814814815,0.5185185185185185,0.4444444444444444,0.06517669494379924,0.5370370370370371,0.046099115951703205,0.05555555555555555,-0.09672628098327794
no-ICA,arousal,sisyphus,47,0.02127659574468085,0.0,0.02127659574468085,0.9787234042553191,0.851063829787234,0.14893617021276595,0.0921037913771049,0.8723404255319149,0.2781267904145598,0.02127659574468085,0.20278823516970831
no-ICA,arousal,stack,64,0.046875,0.0,0.046875,0.953125,0.46875,0.53125,0.08795640308378483,0.515625,0.10705284413438533,0.046875,0.0014366716623815448
no-ICA,valence,pick_place,43,0.4883720930232558,0.16279069767441862,0.13953488372093023,0.5116279069767442,0.3488372093023256,0.3953488372093023,0.18282359505655923,0.5116279069767442,0.24510451498180494,0.5116279069767442,0.39024572006740915
no-ICA,valence,shape_sorter_alone,15,0.4666666666666667,0.4,0.0,0.5333333333333333,0.9333333333333333,0.4,0.04089445051990382,0.9333333333333333,0.10927707247928818,0.4,0.5040815207741398
no-ICA,valence,shape_sorter_interaction,83,0.40963855421686746,0.30120481927710846,0.0,0.5903614457831325,0.8795180722891566,0.30120481927710846,-0.15757780442395317,0.8554216867469879,0.15663322081167275,0.3373493975903614,0.1994736706532763
no-ICA,valence,shape_sorter_observation,63,0.42857142857142855,0.2857142857142857,0.0,0.5714285714285714,0.6031746031746031,0.4126984126984127,-0.2679204556175775,0.42857142857142855,-0.09993779159485673,0.5873015873015873,0.45981971807652644
no-ICA,valence,sisyphus,88,0.7386363636363636,0.2727272727272727,0.0,0.26136363636363635,0.5340909090909091,0.2727272727272727,-0.3451389543265567,0.4431818181818182,0.021034003369292533,0.36363636363636365,0.4207825469749442
no-ICA,valence,stack,70,0.5714285714285714,0.42857142857142855,0.05714285714285714,0.42857142857142855,0.6857142857142857,0.5714285714285714,0.09461509454223004,0.6714285714285714,0.3990181980387592,0.6428571428571429,0.4438890032089945
