participant,representation,target,task,task_label,feature,known_problem_feature,image_low_median,image_low_iqr,image_high_median,image_high_iqr,image_min,image_max,robot_median,robot_iqr,robot_z_median_abs,robot_z_p95_abs,robot_pct_outside_image_min_max
P19,A_existing_robot_features,valence,pick_place,Pick and Place,eeg_se__PO8,False,4.18020063539655,0.31679861128026765,4.357554311039212,0.32759882218933534,3.555258305383176,4.76267914443993,3.236022881369477,0.6754566142270244,4.121593731890076,8.450399230329923,76.19047619047619
P19,A_existing_robot_features,valence,shape_sorter_observation,Shape Sorter Observation,eeg_se__PO8,False,4.18020063539655,0.31679861128026765,4.357554311039212,0.32759882218933534,3.555258305383176,4.76267914443993,3.2854239266005,0.9122998041899764,3.925288932988959,7.133930809506183,61.016949152542374
P19,A_existing_robot_features,valence,stack,Stack,eeg_se__PO8,False,4.18020063539655,0.31679861128026765,4.357554311039212,0.32759882218933534,3.555258305383176,4.76267914443993,3.4960104953118005,0.671411542890826,3.088481658389267,6.440248612002496,54.41176470588235
P19,A_existing_robot_features,valence,sisyphus,Sisyphus,eeg_se__PO8,False,4.18020063539655,0.31679861128026765,4.357554311039212,0.32759882218933534,3.555258305383176,4.76267914443993,3.815567781598426,0.6082491476956307,1.8186577401194237,5.990361782854164,25.274725274725274
P19,A_existing_robot_features,valence,shape_sorter_interaction,Shape Sorter Interaction,eeg_se__PO8,False,4.18020063539655,0.31679861128026765,4.357554311039212,0.32759882218933534,3.555258305383176,4.76267914443993,4.553880816561412,0.24842677367787847,1.1712743198611706,2.2850293877963552,12.987012987012985
P19,C0_reproducible_harmonized_no_ICA,valence,pick_place,Pick and Place,eeg_se__PO8,False,4.18020063539655,0.31679861128026765,4.357554311039212,0.32759882218933534,3.555258305383176,4.76267914443993,4.47308695613806,0.33429298957592746,0.9295918918189199,4.895148030446473,11.904761904761903
P19,C0_reproducible_harmonized_no_ICA,valence,shape_sorter_observation,Shape Sorter Observation,eeg_se__PO8,False,4.18020063539655,0.31679861128026765,4.357554311039212,0.32759882218933534,3.555258305383176,4.76267914443993,4.280176815373957,0.4081330537041765,0.8817253734662607,2.6755392543457908,6.779661016949152
P19,C0_reproducible_harmonized_no_ICA,valence,stack,Stack,eeg_se__PO8,False,4.18020063539655,0.31679861128026765,4.357554311039212,0.32759882218933534,3.555258305383176,4.76267914443993,4.198197124508265,0.4172320056535668,0.6995843190756739,3.19194064905371,10.294117647058822
P19,C0_reproducible_harmonized_no_ICA,valence,sisyphus,Sisyphus,eeg_se__PO8,False,4.18020063539655,0.31679861128026765,4.357554311039212,0.32759882218933534,3.555258305383176,4.76267914443993,4.147483685601509,0.5876878952732696,1.2476828977675631,6.422273409521068,14.285714285714285
P19,C0_reproducible_harmonized_no_ICA,valence,shape_sorter_interaction,Shape Sorter Interaction,eeg_se__PO8,False,4.18020063539655,0.31679861128026765,4.357554311039212,0.32759882218933534,3.555258305383176,4.76267914443993,3.9971711920742257,0.49444053638472596,1.1909825518058568,3.6659294403287146,12.987012987012985
