target,model_id,model_rank,modality,classifier,feature_request,task,n_matched_windows,mean_abs_probability_difference,median_abs_probability_difference,maximum_abs_probability_difference,pearson_probability_correlation,lower_distance_condition,lower_outside_fraction_condition,lower_median_abs_z_condition
arousal,arousal__face__gnb__5,2,face,gnb,5,pick_place,35,0.0,0.0,0.0,1.0,tie,tie,tie
arousal,arousal__face__gnb__5,2,face,gnb,5,shape_sorter_alone,14,0.0,0.0,0.0,1.0,tie,tie,tie
arousal,arousal__face__gnb__5,2,face,gnb,5,shape_sorter_interaction,74,0.0,0.0,0.0,1.0,tie,tie,tie
arousal,arousal__face__gnb__5,2,face,gnb,5,shape_sorter_observation,54,0.0,0.0,0.0,1.0,tie,tie,tie
arousal,arousal__face__gnb__5,2,face,gnb,5,sisyphus,47,0.0,0.0,0.0,0.9999999999999999,tie,tie,tie
arousal,arousal__face__gnb__5,2,face,gnb,5,stack,64,0.0,0.0,0.0,1.0,tie,tie,tie
arousal,arousal__face__svm__10,1,face,svm,10,pick_place,35,0.0,0.0,0.0,1.0,tie,tie,tie
arousal,arousal__face__svm__10,1,face,svm,10,shape_sorter_alone,14,0.0,0.0,0.0,1.0,tie,tie,tie
arousal,arousal__face__svm__10,1,face,svm,10,shape_sorter_interaction,74,0.0,0.0,0.0,1.0,tie,tie,tie
arousal,arousal__face__svm__10,1,face,svm,10,shape_sorter_observation,54,0.0,0.0,0.0,1.0,tie,tie,tie
arousal,arousal__face__svm__10,1,face,svm,10,sisyphus,47,0.0,0.0,0.0,0.9999999999999999,tie,tie,tie
arousal,arousal__face__svm__10,1,face,svm,10,stack,64,0.0,0.0,0.0,1.0,tie,tie,tie
arousal,arousal__face__svm__5,3,face,svm,5,pick_place,35,0.0,0.0,0.0,1.0,tie,tie,tie
arousal,arousal__face__svm__5,3,face,svm,5,shape_sorter_alone,14,0.0,0.0,0.0,1.0,tie,tie,tie
arousal,arousal__face__svm__5,3,face,svm,5,shape_sorter_interaction,74,0.0,0.0,0.0,1.0,tie,tie,tie
arousal,arousal__face__svm__5,3,face,svm,5,shape_sorter_observation,54,0.0,0.0,0.0,1.0,tie,tie,tie
arousal,arousal__face__svm__5,3,face,svm,5,sisyphus,47,0.0,0.0,0.0,1.0,tie,tie,tie
arousal,arousal__face__svm__5,3,face,svm,5,stack,64,0.0,0.0,0.0,1.0,tie,tie,tie
valence,valence__eeg__svm__5,1,eeg,svm,5,pick_place,43,0.1467465607844796,0.1235951084753728,0.8682606341433767,0.7228000939505648,no-ICA,no-ICA,no-ICA
valence,valence__eeg__svm__5,1,eeg,svm,5,shape_sorter_alone,15,0.2336603465793731,0.20156267742064216,0.9999956425073435,-0.40437162066760046,no-ICA,no-ICA,no-ICA
valence,valence__eeg__svm__5,1,eeg,svm,5,shape_sorter_interaction,83,0.14906052039217482,0.13955652802362906,0.9999998999999601,-0.042273636855193204,no-ICA,no-ICA,no-ICA
valence,valence__eeg__svm__5,1,eeg,svm,5,shape_sorter_observation,63,0.13200458286697472,0.1285690655554288,0.48214971685334573,0.6572405290336496,no-ICA,no-ICA,no-ICA
valence,valence__eeg__svm__5,1,eeg,svm,5,sisyphus,88,0.10975166995336262,0.10689892247078514,0.7483293949946717,0.6083615204257641,no-ICA,no-ICA,no-ICA
valence,valence__eeg__svm__5,1,eeg,svm,5,stack,70,0.10674599135797636,0.10911957813500106,0.2525083339291989,0.9214402384838061,no-ICA,no-ICA,no-ICA
valence,valence__face__gnb__10,3,face,gnb,10,pick_place,35,0.0,0.0,0.0,0.9999999999999999,tie,tie,tie
valence,valence__face__gnb__10,3,face,gnb,10,shape_sorter_alone,14,0.0,0.0,0.0,1.0,tie,tie,tie
valence,valence__face__gnb__10,3,face,gnb,10,shape_sorter_interaction,74,0.0,0.0,0.0,1.0,tie,tie,tie
valence,valence__face__gnb__10,3,face,gnb,10,shape_sorter_observation,54,0.0,0.0,0.0,0.9999999999999999,tie,tie,tie
valence,valence__face__gnb__10,3,face,gnb,10,sisyphus,47,0.0,0.0,0.0,1.0,tie,tie,tie
valence,valence__face__gnb__10,3,face,gnb,10,stack,64,0.0,0.0,0.0,1.0,tie,tie,tie
valence,valence__face__gnb__5,2,face,gnb,5,pick_place,35,0.0,0.0,0.0,0.9999999999999999,tie,tie,tie
valence,valence__face__gnb__5,2,face,gnb,5,shape_sorter_alone,14,0.0,0.0,0.0,1.0,tie,tie,tie
valence,valence__face__gnb__5,2,face,gnb,5,shape_sorter_interaction,74,0.0,0.0,0.0,0.9999999999999999,tie,tie,tie
valence,valence__face__gnb__5,2,face,gnb,5,shape_sorter_observation,54,0.0,0.0,0.0,0.9999999999999999,tie,tie,tie
valence,valence__face__gnb__5,2,face,gnb,5,sisyphus,47,0.0,0.0,0.0,0.9999999999999999,tie,tie,tie
valence,valence__face__gnb__5,2,face,gnb,5,stack,64,0.0,0.0,0.0,0.9999999999999999,tie,tie,tie
