participant,target,task,model_rank,model_label,condition,median_nearest_image_distance,median_abs_z,out_of_range_fraction,shift_flag,shift_reason
P01,valence,shape_sorter_alone,3,Face GNB Top-10,no-ICA,12.1283278952032,1.9543387310200484,0.4500000000000001,True,median nearest Image-training distance > 10 in selected standardized feature space
P01,valence,shape_sorter_interaction,3,Face GNB Top-10,no-ICA,8.916140465696113,1.9146317344075308,0.4527027027027027,False,
P01,valence,shape_sorter_observation,3,Face GNB Top-10,no-ICA,12.876666777793886,1.899878268149013,0.3740740740740741,True,median nearest Image-training distance > 10 in selected standardized feature space
P01,valence,sisyphus,3,Face GNB Top-10,no-ICA,9.824532846251056,2.809851294599713,0.4063829787234042,False,
P01,valence,stack,3,Face GNB Top-10,no-ICA,11.402053278523628,1.949322183139004,0.4046875,True,median nearest Image-training distance > 10 in selected standardized feature space
P01,arousal,pick_place,1,Face SVM Top-10,no-ICA,14.270344071453447,2.4044573140078827,0.3971428571428572,True,median nearest Image-training distance > 10 in selected standardized feature space
P01,arousal,shape_sorter_alone,1,Face SVM Top-10,no-ICA,12.05911146276854,1.9395069152544184,0.4500000000000001,True,median nearest Image-training distance > 10 in selected standardized feature space
P01,arousal,shape_sorter_interaction,1,Face SVM Top-10,no-ICA,8.87011007712966,1.9084546453834603,0.4527027027027027,False,
P01,arousal,shape_sorter_observation,1,Face SVM Top-10,no-ICA,12.804968563842532,1.8825918183347583,0.3740740740740741,True,median nearest Image-training distance > 10 in selected standardized feature space
P01,arousal,sisyphus,1,Face SVM Top-10,no-ICA,9.779488044148126,2.7897391703312646,0.4063829787234042,False,
P01,arousal,stack,1,Face SVM Top-10,no-ICA,11.338537862885394,1.9446725601256591,0.4046875,True,median nearest Image-training distance > 10 in selected standardized feature space
P01,arousal,pick_place,2,Face GNB Top-5,no-ICA,9.136291913219711,2.276332095431924,0.44,False,
P01,arousal,shape_sorter_alone,2,Face GNB Top-5,no-ICA,9.67525334791494,1.214398581752279,0.5142857142857145,False,
P01,arousal,shape_sorter_interaction,2,Face GNB Top-5,no-ICA,4.861375428841777,1.1507463928589394,0.3864864864864865,False,
P01,arousal,shape_sorter_observation,2,Face GNB Top-5,no-ICA,6.850787389388998,1.4024822393799652,0.3370370370370371,False,
P01,arousal,sisyphus,2,Face GNB Top-5,no-ICA,6.169077350218714,1.8714458636944,0.4212765957446808,False,
P01,arousal,stack,2,Face GNB Top-5,no-ICA,6.093840945044633,1.329309733641704,0.328125,False,
P01,arousal,pick_place,3,Face SVM Top-5,no-ICA,9.136291913219711,2.276332095431924,0.44,False,
P01,arousal,shape_sorter_alone,3,Face SVM Top-5,no-ICA,9.67525334791494,1.214398581752279,0.5142857142857145,False,
P01,arousal,shape_sorter_interaction,3,Face SVM Top-5,no-ICA,4.861375428841777,1.1507463928589394,0.3864864864864865,False,
P01,arousal,shape_sorter_observation,3,Face SVM Top-5,no-ICA,6.850787389388998,1.4024822393799652,0.3370370370370371,False,
P01,arousal,sisyphus,3,Face SVM Top-5,no-ICA,6.169077350218714,1.8714458636944,0.4212765957446808,False,
P01,arousal,stack,3,Face SVM Top-5,no-ICA,6.093840945044633,1.329309733641704,0.328125,False,
