video_irisdo_norm_mean,video_irisdo_norm_std,video_eso_norm_mean,video_eso_norm_std,video_enso_norm_std
0.0589578667158167,0.027051212344146,0.7083754827507039,0.013772903868904,0.0244441240941341
0.0601844758395046,0.0299376533788967,0.709128675038547,0.0175511674644163,0.0330780084622225
0.0630722775451109,0.0301647724783106,0.7065655972242763,0.0139440635548948,0.0296665113019908
0.0850510244636332,0.0113925176808699,0.7135781928211167,0.004057663039827,0.0073872722198098
0.0630049254436149,0.0301660034668417,0.7075077668046467,0.0129265821786056,0.0325739738300672
0.0617265633446913,0.0223097343375723,0.7078043128868892,0.0095174326564049,0.0198497785406973
0.0677913724875774,0.0175649127306964,0.7110248029329631,0.0090215621028509,0.0192090602644211
0.0504327206506948,0.0281725175897466,0.6954321775513671,0.0140385731435921,0.0341740565969518
0.0599949829370714,0.0241638715974025,0.7063559993301383,0.0107352123516131,0.0229527233225158
0.0543745134017101,0.0221100543907978,0.7062936316486091,0.0136553384921884,0.0225604817437964
0.039355972824906,0.0182725392074359,0.6961485317869669,0.0133861092799561,0.0236557097670323
0.0453158290928484,0.0218474443408888,0.7010090766128587,0.0110883035137449,0.027456854060102
0.0345976660684302,0.0183031246765711,0.6978386153490639,0.014106277080366,0.0238088167263051
0.0582163160553431,0.0077301626805735,0.7159552885583219,0.0033368156673698,0.0080763302896034
0.0592466579228208,0.0137434762730671,0.7114501805215819,0.0092754460635275,0.0189506815804433
0.0562230432125683,0.0134484296715541,0.7079206068530576,0.0113015792002516,0.0143004385974413
0.057573886546065,0.0179482701191246,0.7057631725000232,0.0137759583638741,0.0202811684998115
0.0602363405426302,0.0142974279301906,0.7049139306085295,0.0077487602714718,0.011895977276448
0.0628041826486053,0.0267693489977031,0.7003454315440845,0.0110398689812173,0.0247238882688049
0.0486357099465505,0.0152345646260801,0.7030001504819551,0.0115848670934904,0.0182237222400537
0.0686219482133997,0.0119168097678058,0.7075220649143817,0.0066351308288901,0.012913960908215
0.0512652942729266,0.0193065461602156,0.7017704916418289,0.0167700119103566,0.0244221264773309
0.0451353558670446,0.0205774117769724,0.7054381037565959,0.0112010119670347,0.0197992152513788
0.0432687048980563,0.0158687876124132,0.6976113399408977,0.0101593651851735,0.0227787251735002
0.0310382834749602,0.021507260367824,0.6838041552585783,0.0236240697811372,0.0323231759307392
0.0527907027882749,0.0148330573340201,0.7077536898678893,0.012443582027658,0.0160993176371019
0.0589316280798015,0.0056702968063944,0.7079910401178986,0.0061934376260314,0.0098935789687001
0.0349178172372873,0.019823244269781,0.6918807152767629,0.0144043316337745,0.0241493440834528
0.049579390197628,0.0117390793707078,0.7055398023826871,0.0084821957950906,0.0149119176619424
0.0638355208344908,0.0218437806416251,0.7089896702188174,0.0094545329292167,0.0265019604432661
0.0507466180452257,0.0198817655909964,0.7033108156299425,0.0158082888209406,0.0244389274705389
0.0533362793706606,0.0242347424084661,0.7051671499007675,0.0140832373249464,0.0236682887205781
0.0787811177595121,0.0110790730329572,0.717054536851072,0.0050333620120143,0.0113293360790797
0.0497057527210456,0.0271713847655728,0.7040737100076429,0.0177170127327164,0.0281179621828827
0.0552171421789924,0.0170453350908086,0.7097609016939889,0.0117991839049563,0.0182245215393604
0.0679219460982164,0.0184283766769922,0.7113640481877858,0.0072363099615585,0.0171280423053411
0.0579050799171036,0.0206979457841115,0.7061637772788211,0.0110167258614931,0.0220682018039239
0.0761800495281185,0.018910487071585,0.7100543607756936,0.0025996642876207,0.0119674511819684
0.0404520053452365,0.0174301922617582,0.7035926905866563,0.0091159341165505,0.0234305599528297
0.0674331438767557,0.0154857330315489,0.7168832446142283,0.0092775891460777,0.0177851862794492
0.0396488995124807,0.0206878297036926,0.6976832101288271,0.0178695166556186,0.0244172277852915
0.0458782790952466,0.017034803322695,0.7055129121777566,0.0059623531886518,0.0149849711252793
0.0541894595270127,0.0208472724488387,0.7053410121777092,0.0128943484169109,0.0231313685292409
0.0402163214641227,0.0135294629502917,0.6997401608467048,0.007509732831582,0.0169126000927061
0.0526151999233081,0.0230659412124277,0.700529110170128,0.0118739886734151,0.0261881126725073
0.0354394788701905,0.0177234374680714,0.6921419094873994,0.013865066093422,0.0221980217185461
0.047097482696937,0.0143898205933152,0.7074062228106756,0.0158049927881339,0.0203386720646479
0.0470650052752499,0.0152676382170479,0.7013162257025461,0.0099734791109839,0.0195658382168296
0.0446599318896991,0.0295527784846545,0.6998264990415655,0.01624657376501,0.0308627433912688
0.0793446109958368,0.0095674432702134,0.7145430685133459,0.0031930620933412,0.0068521252646313
0.0425039834660028,0.021288302522819,0.7006934219690742,0.0148568921035883,0.0257163779654308
0.0509771220080991,0.0245789475392898,0.7014005993749478,0.0152477976824423,0.0236539192795668
0.0645001669364378,0.0147187555608463,0.7004626311060124,0.0087490859569959,0.010698134962577
0.0649997483152401,0.0262837275084827,0.706796140570882,0.0128221333248321,0.0265202634951594
0.0449830899286487,0.0192016985271715,0.7028459757807267,0.0100675095896634,0.0205028367767321
0.0392778228440886,0.0182106243362416,0.6962688059261215,0.0106203095557643,0.0196459613269885
0.0419380349654836,0.0152402813053569,0.7009096849324693,0.0117531309126909,0.0193174556809159
0.0387084762631977,0.0169207719690234,0.6965905354258761,0.013900477266241,0.0238989987294272
0.042896522106723,0.0157979871342748,0.7008677002194914,0.0103708809566079,0.0205752809510875
0.042434632577427,0.0127057896128502,0.7042198262769812,0.0096459110097888,0.0160233508004893
0.074270144546399,0.0159773465242147,0.71490067446666,0.0049804560289138,0.0156120660716493
0.0633967609938296,0.0124535805771011,0.7052154419772558,0.0038453824153715,0.0125194668918302
0.0718115746806844,0.0131467837974779,0.713643902039128,0.0069728629100892,0.0107512329567882
0.0411845459770995,0.0286045717182686,0.6959442057534632,0.0161985847982943,0.0258426632960151
0.0521820503161386,0.0239813718573832,0.7063756036845885,0.015282199034012,0.0224823778435222
0.0696298048259088,0.0126180082402785,0.711231420742697,0.0035439035123852,0.0086454419024023
0.0527886706261124,0.014737390525065,0.7035778775773912,0.0122139154900833,0.0149454534231459
0.0641452416944971,0.0192720448520966,0.713613924094656,0.0077579331126921,0.0192051129486002
0.0604968688019615,0.0192402673641673,0.7071158211787866,0.0100853423539636,0.0191327448789791
0.0550747014660462,0.0258622212922866,0.7009496394873366,0.012879850973019,0.0237618403871342
0.0556377689761743,0.0156786415739489,0.7133155901723941,0.0053975592260706,0.0113243928160713
0.0655144249285586,0.0153670846162763,0.7111709615958106,0.0083840588624258,0.0111076936590589
0.0394941609879898,0.0160543342088916,0.6953342991871613,0.0153722072613991,0.0213346955256417
0.0428588357770004,0.0216857792544382,0.7010169691453245,0.0169048008769433,0.0265311115360431
0.0480916942870067,0.0195385760403116,0.7041517300374582,0.0131470378858552,0.0182700919164805
0.0606537416631175,0.0121006800885136,0.71141685880979,0.0079203804215305,0.014261528261724
0.0584345532332136,0.0148969017968457,0.7075583673698103,0.0051871623654791,0.0132836161758835
0.0328349868079476,0.0163036016013846,0.6887549475948015,0.0149867425306138,0.0213073158721078
0.043173820876678,0.017396172885294,0.7003949988975062,0.0144866314449805,0.0184010995853425
0.0538390061873363,0.0145935892935546,0.7054038088433034,0.0155282635762571,0.0197797271323675
0.0505575486699849,0.0165833519305864,0.7056287017332973,0.0122324534191119,0.0237443541516607
0.0579274576891564,0.0164309504306551,0.7077827445979967,0.0140157910331717,0.020394646978518
0.0609083598563219,0.0098142061213056,0.7130629874783395,0.0067435654059478,0.0110780157104086
0.0722281216489857,0.0138211609410249,0.7078385871584779,0.0042648365541652,0.0159119769065844
