video_irisdo_norm_std,video_eso_norm_std,video_enso_norm_std,video_mnso_norm_std,video_mwo_norm_std
0.027051212344146,0.013772903868904,0.0244441240941341,0.0113087592992895,0.0231104063169515
0.0299376533788967,0.0175511674644163,0.0330780084622225,0.0065174433075798,0.018038371099715
0.0301647724783106,0.0139440635548948,0.0296665113019908,0.0054936626757232,0.017768985782219
0.0113925176808699,0.004057663039827,0.0073872722198098,0.001852658512498,0.0112813055182443
0.0301660034668417,0.0129265821786056,0.0325739738300672,0.0031684802809272,0.0211600530328355
0.0223097343375723,0.0095174326564049,0.0198497785406973,0.0051752925790506,0.0098912529453833
0.0175649127306964,0.0090215621028509,0.0192090602644211,0.0030239415440733,0.0128406462328227
0.0281725175897466,0.0140385731435921,0.0341740565969518,0.0073921046625267,0.0141120557729987
0.0241638715974025,0.0107352123516131,0.0229527233225158,0.0053499012657824,0.0167795285606334
0.0221100543907978,0.0136553384921884,0.0225604817437964,0.0059709412898856,0.0122074027558799
0.0182725392074359,0.0133861092799561,0.0236557097670323,0.0057137102909019,0.010807962728869
0.0218474443408888,0.0110883035137449,0.027456854060102,0.0073958385394996,0.015771182672747
0.0183031246765711,0.014106277080366,0.0238088167263051,0.0043653951015166,0.0123218891794952
0.0077301626805735,0.0033368156673698,0.0080763302896034,0.0019662813791341,0.0104576328266081
0.0137434762730671,0.0092754460635275,0.0189506815804433,0.0032516737153185,0.0070049165163785
0.0134484296715541,0.0113015792002516,0.0143004385974413,0.004271515784244,0.009016170228353
0.0179482701191246,0.0137759583638741,0.0202811684998115,0.005208719587902,0.0108688126830718
0.0142974279301906,0.0077487602714718,0.011895977276448,0.0021705159729272,0.0138126016819932
0.0267693489977031,0.0110398689812173,0.0247238882688049,0.0025559263698504,0.0125029085994171
0.0152345646260801,0.0115848670934904,0.0182237222400537,0.0038021364686423,0.0073846974193131
0.0119168097678058,0.0066351308288901,0.012913960908215,0.0027418805790541,0.009445179055817
0.0193065461602156,0.0167700119103566,0.0244221264773309,0.0043700523215604,0.0105389334165267
0.0205774117769724,0.0112010119670347,0.0197992152513788,0.0040181611004869,0.0117624175869385
0.0158687876124132,0.0101593651851735,0.0227787251735002,0.0047198900951425,0.0131294837375579
0.021507260367824,0.0236240697811372,0.0323231759307392,0.0043757372231296,0.0097208011538861
0.0148330573340201,0.012443582027658,0.0160993176371019,0.0064899745109708,0.0095543342919923
0.0056702968063944,0.0061934376260314,0.0098935789687001,0.0024801265441763,0.0070717028341833
0.019823244269781,0.0144043316337745,0.0241493440834528,0.0039794481907854,0.0128993429093426
0.0117390793707078,0.0084821957950906,0.0149119176619424,0.0041236451181497,0.0091874740956068
0.0218437806416251,0.0094545329292167,0.0265019604432661,0.0053594751666593,0.021062779599417
0.0198817655909964,0.0158082888209406,0.0244389274705389,0.0040108448499199,0.0147421437173119
0.0242347424084661,0.0140832373249464,0.0236682887205781,0.0053459680384658,0.0151219653346828
0.0110790730329572,0.0050333620120143,0.0113293360790797,0.0010311845671591,0.0073769251546149
0.0271713847655728,0.0177170127327164,0.0281179621828827,0.0055719663421177,0.0139978040038675
0.0170453350908086,0.0117991839049563,0.0182245215393604,0.0034750171477186,0.0076110720791132
0.0184283766769922,0.0072363099615585,0.0171280423053411,0.0041264960149689,0.0182553110177567
0.0206979457841115,0.0110167258614931,0.0220682018039239,0.0044357228061877,0.015205734162969
0.018910487071585,0.0025996642876207,0.0119674511819684,0.0027664330694411,0.0115049383958874
0.0174301922617582,0.0091159341165505,0.0234305599528297,0.0052922191019684,0.0163467373635373
0.0154857330315489,0.0092775891460777,0.0177851862794492,0.0035101630466531,0.0104005116065372
0.0206878297036926,0.0178695166556186,0.0244172277852915,0.0046429538958748,0.0128955563956092
0.017034803322695,0.0059623531886518,0.0149849711252793,0.0048166537182409,0.0117016538815798
0.0208472724488387,0.0128943484169109,0.0231313685292409,0.0036218616261116,0.0149729128936814
0.0135294629502917,0.007509732831582,0.0169126000927061,0.0038075774108275,0.0079688310063153
0.0230659412124277,0.0118739886734151,0.0261881126725073,0.0044717711731008,0.0112785697500571
0.0177234374680714,0.013865066093422,0.0221980217185461,0.0069743493602565,0.018524370498302
0.0143898205933152,0.0158049927881339,0.0203386720646479,0.003133507198547,0.0066597488440541
0.0152676382170479,0.0099734791109839,0.0195658382168296,0.0031115852779657,0.0110160401534311
0.0295527784846545,0.01624657376501,0.0308627433912688,0.0087099959390087,0.0196731418360277
0.0095674432702134,0.0031930620933412,0.0068521252646313,0.0039982432375597,0.0090037516592765
0.021288302522819,0.0148568921035883,0.0257163779654308,0.004291638654967,0.018373570644958
0.0245789475392898,0.0152477976824423,0.0236539192795668,0.0043116953937535,0.0225413369841612
0.0147187555608463,0.0087490859569959,0.010698134962577,0.0080060599341027,0.0173861524437625
0.0262837275084827,0.0128221333248321,0.0265202634951594,0.0059571743816146,0.0153020313374664
0.0192016985271715,0.0100675095896634,0.0205028367767321,0.0052501568181863,0.0140715943548935
0.0182106243362416,0.0106203095557643,0.0196459613269885,0.0050019484665706,0.0093116194320264
0.0152402813053569,0.0117531309126909,0.0193174556809159,0.0037841181042899,0.0083243562341834
0.0169207719690234,0.013900477266241,0.0238989987294272,0.0059868827346591,0.0143562750709893
0.0157979871342748,0.0103708809566079,0.0205752809510875,0.0051142707415168,0.009371145490984
0.0127057896128502,0.0096459110097888,0.0160233508004893,0.0027451745142437,0.0105991777303195
0.0159773465242147,0.0049804560289138,0.0156120660716493,0.0029148564093196,0.0142531471024877
0.0124535805771011,0.0038453824153715,0.0125194668918302,0.0051798780542941,0.0088504144184507
0.0131467837974779,0.0069728629100892,0.0107512329567882,0.0032707105163448,0.0095683418633805
0.0286045717182686,0.0161985847982943,0.0258426632960151,0.0093110539725238,0.0196051013631468
0.0239813718573832,0.015282199034012,0.0224823778435222,0.0058416074723468,0.010568687922466
0.0126180082402785,0.0035439035123852,0.0086454419024023,0.0041432043746956,0.0074490663985295
0.014737390525065,0.0122139154900833,0.0149454534231459,0.0055366895259766,0.0107873816273313
0.0192720448520966,0.0077579331126921,0.0192051129486002,0.0058079090821941,0.0144355857726585
0.0192402673641673,0.0100853423539636,0.0191327448789791,0.0040564912129306,0.0104327144514236
0.0258622212922866,0.012879850973019,0.0237618403871342,0.0045813455995343,0.0135545895069434
0.0156786415739489,0.0053975592260706,0.0113243928160713,0.002223139908096,0.0070712921019025
0.0153670846162763,0.0083840588624258,0.0111076936590589,0.0052689751286394,0.0109593678058503
0.0160543342088916,0.0153722072613991,0.0213346955256417,0.0054863478642166,0.0137004744534158
0.0216857792544382,0.0169048008769433,0.0265311115360431,0.003154996949654,0.0145597230793518
0.0195385760403116,0.0131470378858552,0.0182700919164805,0.0029413320009901,0.009685209833723
0.0121006800885136,0.0079203804215305,0.014261528261724,0.0013219630748108,0.0100030105968616
0.0148969017968457,0.0051871623654791,0.0132836161758835,0.0041824564377146,0.0117759543971584
0.0163036016013846,0.0149867425306138,0.0213073158721078,0.0032923340450505,0.0097833519761223
0.017396172885294,0.0144866314449805,0.0184010995853425,0.005130096461412,0.0166812798401544
0.0145935892935546,0.0155282635762571,0.0197797271323675,0.0033172506858674,0.0059338442602262
0.0165833519305864,0.0122324534191119,0.0237443541516607,0.0036071937398843,0.0136764132303491
0.0164309504306551,0.0140157910331717,0.020394646978518,0.0030628280728564,0.0067710399357896
0.0098142061213056,0.0067435654059478,0.0110780157104086,0.0020780789211691,0.0051530768435516
0.0138211609410249,0.0042648365541652,0.0159119769065844,0.001398824247544,0.008448750158986
0.0208762842638463,0.0214219730874634,0.0235437074514597,0.0026329343913895,0.0108941433598326
0.0270418713646774,0.018454337450526,0.0328739655754043,0.0076680999750526,0.0210941910809811
0.0290920777851013,0.0163985734980547,0.0294921893090497,0.0042354795682633,0.0168184845730804
0.0156661966365799,0.0108347838657443,0.0202712354827716,0.00288543246982,0.0123255846595003
0.0237375855149299,0.0116247055399614,0.0267268367140056,0.006366307166607,0.0128927789299399
0.0261357979241276,0.0135595896386694,0.027058411703574,0.0064675831270999,0.0214884218763159
0.021007891531262,0.0165840720428527,0.0285412368381752,0.0067280534093335,0.015442513843037
0.0263763149235262,0.0140236349118942,0.0280756500410033,0.0061243797900028,0.0209154863469514
0.0250402911307919,0.0086959291998334,0.0257682101472029,0.0034886059163836,0.0152985600176048
0.0147716269128454,0.0060668323206505,0.0112049821217788,0.0036056253656699,0.0119530038564548
0.0208177660384814,0.0175683282145319,0.0286104517722284,0.0062179191078557,0.0194725990240911
0.0132862867254477,0.010274366173885,0.0176875452260204,0.0054607479870174,0.0132057011367606
0.017496682503268,0.0130313397273817,0.0197849378564303,0.0030588499481075,0.0160573179628892
0.017391683342592,0.0173456708462978,0.025443493717131,0.0041219025569959,0.0158075366129956
0.0160908383404052,0.0074758000889328,0.014028214087933,0.0030644943613153,0.0087985718431808
0.0202103542702728,0.0112841989502892,0.0215939381634201,0.0041847422851602,0.0118611799012917
0.0119367985270794,0.0133607703942026,0.0186944268874584,0.0056450469810735,0.008814884624565
0.0152242846665785,0.0155377238797254,0.0181171551802885,0.0055249078996419,0.0125018157407488
0.0121932860939065,0.0051990466163632,0.0090349821491699,0.0025620279386389,0.0106175344297106
0.0152437210183808,0.0082232317200207,0.0187846783382511,0.003432381662165,0.0115762936731425
0.010025882038644,0.0059337190796267,0.0110697119860131,0.0013916979331051,0.0154287256343126
0.0122554449930359,0.0043699858668622,0.0120680553838881,0.0062362063867368,0.0095089601150948
0.0113297898944884,0.0078878620078352,0.0158092500109633,0.0028111239201789,0.0073797254760593
0.0195534539117594,0.0172648421846185,0.023436064043811,0.0066172547037678,0.0126508087370539
0.0177293288875068,0.0109640225145245,0.018950085506211,0.005085573719226,0.0197529496343806
0.0209372898008078,0.012974126078039,0.0233798596929077,0.0046667228442545,0.0151257829124224
0.0190300259384795,0.0134415349808437,0.0252787164979643,0.0056520201260976,0.0212242172705203
0.0133865527143323,0.0115274180239232,0.0167331535840632,0.004169571007141,0.0115987829060817
0.0138751320119107,0.0063030983952716,0.0157643999581133,0.0035188813665415,0.0136077476076557
0.0144894174843047,0.0108157626023865,0.0197785277679542,0.0046576843210054,0.0104111643415591
0.0159372912339705,0.0055840296187654,0.0147442783831472,0.0028991199633772,0.0125686225337984
0.0159115963275785,0.0063706164670771,0.0147189705324379,0.003199731155431,0.0190283947131557
0.0213825357043887,0.0120335968288814,0.0227505989185167,0.0059133777412251,0.0129456105381486
0.0194239078806251,0.010950459968683,0.0186559877640598,0.0038515930036898,0.0103073288192595
0.0212452822446163,0.0162619352085612,0.0277996684857859,0.0067815266205033,0.0138820985185763
0.0219328458187709,0.0141279514872608,0.0152012324802575,0.0062149781474954,0.0172200860788578
