participant,target,task,task_display,robot_condition,n_consensus_windows,median_top3_consensus_probability,mean_top3_consensus_probability,fraction_consensus_windows_ge_0_5,descriptive_task_verdict,mean_top3_probability_range,median_top3_probability_range,mean_pairwise_absolute_probability_difference,fraction_unanimous_low_windows,fraction_unanimous_high_windows,fraction_unanimous_top3_windows,majority_vote_high_fraction,probability_correlation_r1_r2,probability_correlation_r1_r3,probability_correlation_r2_r3,robot_rating_1_to_7,robot_rating_class,verdict_matches_robot_rating
P19,arousal,pick_place,PnP,SLOW,42,0.1611666022486855,0.23858963174219666,0.09523809523809523,LOW,0.09529596756091224,0.08755726348704326,0.06353064504060815,0.8809523809523809,0.09523809523809523,0.9761904761904762,0.09523809523809523,0.9591945286708206,0.9686736197920864,0.9546474055900911,5.0,HIGH,False
P19,arousal,shape_sorter_alone,SSAlone,N/A,27,0.0144035371521931,0.06843991620316482,0.037037037037037035,LOW,0.09051207591334036,0.06175818760157693,0.06034138394222691,0.9259259259259259,0.037037037037037035,0.9629629629629629,0.037037037037037035,0.9278662701869541,0.886753959190425,0.9899634779704182,3.0,LOW,True
P19,arousal,shape_sorter_interaction,SSInt,N/A,77,0.029753375301212637,0.10834052261787172,0.03896103896103896,LOW,0.11241229103366505,0.0974732769946422,0.07494152735577671,0.922077922077922,0.03896103896103896,0.961038961038961,0.03896103896103896,0.922762591601353,0.9347941476585755,0.9760641159630112,6.0,HIGH,False
P19,arousal,shape_sorter_observation,SSObs,FAST,59,0.3282113513976044,0.3450837379895536,0.22033898305084745,LOW,0.1276949687146189,0.1214318197355902,0.0851299791430793,0.6949152542372882,0.11864406779661017,0.8135593220338984,0.22033898305084745,0.9284319589866424,0.9299334528068424,0.8404981171427472,5.0,HIGH,False
P19,arousal,sisyphus,Sisyphus,N/A,91,0.029565149409555503,0.09627927721218112,0.04395604395604396,LOW,0.11038892751365209,0.08314155468165933,0.07359261834243475,0.9340659340659341,0.02197802197802198,0.9560439560439561,0.04395604395604396,0.8840204338398134,0.8917841711621826,0.8427169550632999,5.0,HIGH,False
P19,arousal,stack,St,FAULTY,68,0.11731103237256975,0.1944284665428001,0.10294117647058823,LOW,0.11605153407152563,0.1150206453249498,0.07736768938101708,0.8823529411764706,0.058823529411764705,0.9411764705882353,0.10294117647058823,0.9394917847842079,0.9309026573512842,0.8753888684394698,4.0,HIGH,False
P19,valence,pick_place,PnP,SLOW,42,0.5922978026641689,0.5788302472424305,0.6428571428571429,HIGH,0.40347296498835544,0.3891830895260497,0.26898197665890355,0.19047619047619047,0.5238095238095238,0.7142857142857143,0.6428571428571429,0.6656766393052289,0.48172375021814334,0.8299514069598518,5.0,HIGH,True
P19,valence,shape_sorter_alone,SSAlone,N/A,27,0.23750272348004686,0.22726884472273282,0.037037037037037035,LOW,0.3843685239972619,0.39291765340907403,0.2562456826648412,0.6666666666666666,0.0,0.6666666666666666,0.037037037037037035,0.7389847543434039,0.2963390531746174,0.3960254075523874,5.0,HIGH,False
P19,valence,shape_sorter_interaction,SSInt,N/A,77,0.2740733694268302,0.30955788064788975,0.09090909090909091,LOW,0.40767924868305455,0.41205591260906604,0.27178616578870307,0.6753246753246753,0.06493506493506493,0.7402597402597403,0.09090909090909091,0.6847978449630477,0.5528964728032355,0.5768380797639547,6.0,HIGH,False
P19,valence,shape_sorter_observation,SSObs,FAST,59,0.4989316988626469,0.47853685458797823,0.4915254237288136,LOW,0.3875074803320581,0.4006461409182509,0.25833832022137204,0.3559322033898305,0.3728813559322034,0.7288135593220338,0.4915254237288136,0.6320184519216518,0.5971849436441967,0.8070878167488328,5.0,HIGH,False
P19,valence,sisyphus,Sisyphus,N/A,91,0.3465365658067792,0.38563273757087585,0.25274725274725274,LOW,0.4053991777704987,0.40025273381167986,0.2702661185136659,0.5934065934065934,0.18681318681318682,0.7802197802197802,0.25274725274725274,0.8740456163919279,0.6297475521716804,0.6862631130375578,4.0,HIGH,False
P19,valence,stack,St,FAULTY,68,0.41895301471807356,0.4494363743617838,0.3382352941176471,LOW,0.4115881082407193,0.41003938711165,0.2743920721604795,0.4411764705882353,0.22058823529411764,0.6617647058823529,0.3382352941176471,0.7155220331609282,0.5318372913589073,0.7729174099668841,4.0,HIGH,False
