target,model_rank,task,window_count,median_nearest_image_distance,fraction_windows_with_outside,fraction_feature_values_outside,median_abs_image_z,maximum_abs_image_z
arousal,1,pick_place,42,2.150561500785005,0.23809523809523808,0.07142857142857142,0.7417793104656977,79.13096090125222
arousal,1,shape_sorter_alone,27,7.076772993299868,0.8888888888888888,0.22592592592592592,1.2880963267630612,75.14812549302462
arousal,1,shape_sorter_interaction,77,5.484181856815651,0.8051948051948052,0.14415584415584415,1.0953334343599752,81.28312776332344
arousal,1,shape_sorter_observation,59,2.202688053072095,0.3050847457627119,0.06271186440677966,0.8234337915172127,69.09524806727923
arousal,1,sisyphus,91,5.1433768927294485,0.7362637362637363,0.12307692307692308,0.9986646870147167,80.13724964341486
arousal,1,stack,68,2.9447969983650832,0.38235294117647056,0.07647058823529412,0.9595758460204551,80.23171650515107
arousal,2,pick_place,42,1.8287300132499693,0.21428571428571427,0.06845238095238096,0.6749299297571625,79.13096090125222
arousal,2,shape_sorter_alone,27,6.757792963079573,0.8888888888888888,0.24074074074074073,1.3703813229612636,75.14812549302462
arousal,2,shape_sorter_interaction,77,5.168475644851538,0.7532467532467533,0.15584415584415584,1.1099510612027808,81.28312776332344
arousal,2,shape_sorter_observation,59,1.8575408738820078,0.2711864406779661,0.06567796610169492,0.8593573519599433,69.09524806727923
arousal,2,sisyphus,91,4.812122783022343,0.7032967032967034,0.1304945054945055,0.888731158672768,80.13724964341486
arousal,2,stack,68,2.639523185109553,0.35294117647058826,0.08272058823529412,0.9938510237045136,80.23171650515107
arousal,3,pick_place,42,1.8743531876903465,0.23809523809523808,0.06547619047619048,0.6809525782348634,79.13096090125222
arousal,3,shape_sorter_alone,27,6.821787896109793,0.8888888888888888,0.2175925925925926,1.2849333215683354,75.14812549302462
arousal,3,shape_sorter_interaction,77,5.283192813026981,0.7662337662337663,0.15584415584415584,1.1138310749742573,81.28312776332344
arousal,3,shape_sorter_observation,59,1.8825867416152733,0.288135593220339,0.0614406779661017,0.8213094840128023,69.09524806727923
arousal,3,sisyphus,91,4.929310546959833,0.6813186813186813,0.11813186813186813,0.9459749639097946,80.13724964341486
arousal,3,stack,68,2.8061164777689713,0.3235294117647059,0.0625,0.9423667253243575,80.23171650515107
valence,1,pick_place,42,1.521763574605087,0.19047619047619047,0.0625,0.6791517198929794,79.13096090125222
valence,1,shape_sorter_alone,27,1.9460162430910442,0.37037037037037035,0.125,1.2735846736220893,75.14812549302462
valence,1,shape_sorter_interaction,77,1.599081656732759,0.3116883116883117,0.07142857142857142,0.9807161609137205,81.28312776332344
valence,1,shape_sorter_observation,59,1.4795983304123321,0.23728813559322035,0.05508474576271186,0.8427078606010792,69.09524806727923
valence,1,sisyphus,91,1.7817740342797725,0.17582417582417584,0.04945054945054945,0.9409587313547937,80.13724964341486
valence,1,stack,68,1.6067206682705941,0.25,0.05330882352941176,0.9054547287773811,80.23171650515107
valence,2,pick_place,42,1.787699060399735,0.2619047619047619,0.10119047619047619,0.8493251597574443,89725.63857970345
valence,2,shape_sorter_alone,27,7.709333699518323,0.8148148148148148,0.28703703703703703,1.8105451177676795,80919.32609823739
valence,2,shape_sorter_interaction,77,5.1812943943388055,0.7922077922077922,0.1737012987012987,1.3798479321921853,82595.6780116445
valence,2,shape_sorter_observation,59,1.51246325802441,0.1864406779661017,0.06991525423728813,0.8745826000093457,85151.13258660254
valence,2,sisyphus,91,4.4825278301151545,0.7142857142857143,0.16071428571428573,1.164347105067331,74338.78335273723
valence,2,stack,68,2.2793263352854485,0.4117647058823529,0.10110294117647059,0.9625906730829777,75237.9346493268
valence,3,pick_place,42,2.058465504099897,0.2857142857142857,0.09047619047619049,0.7910131096628382,89725.63857970345
valence,3,shape_sorter_alone,27,8.46804672797644,0.8148148148148148,0.2518518518518518,1.6765037439710588,80919.32609823739
valence,3,shape_sorter_interaction,77,5.867675682969296,0.7922077922077922,0.14805194805194805,1.2905865185134116,82595.6780116445
valence,3,shape_sorter_observation,59,1.9536460842244703,0.1864406779661017,0.06271186440677966,0.8947724759164517,85151.13258660254
valence,3,sisyphus,91,5.373593034909046,0.7692307692307693,0.14395604395604394,1.1148064592206175,74338.78335273723
valence,3,stack,68,2.7571964979171932,0.5147058823529411,0.10147058823529412,0.9786448008508883,75237.9346493268
