target,task,n_all_three_windows,unanimous_agreement_rate,unanimous_high_rate,unanimous_low_rate,disagreement_rate,majority_vote_high_fraction,class_agreement_1_2,probability_correlation_1_2,class_agreement_1_3,probability_correlation_1_3,class_agreement_2_3,probability_correlation_2_3
arousal,pick_place,42,0.9761904761904762,0.09523809523809523,0.8809523809523809,0.023809523809523808,0.09523809523809523,0.9761904761904762,0.9591945286708206,0.9761904761904762,0.9686736197920864,1.0,0.9546474055900911
arousal,shape_sorter_alone,27,0.9629629629629629,0.037037037037037035,0.9259259259259259,0.037037037037037035,0.037037037037037035,0.9629629629629629,0.9278662701869541,0.9629629629629629,0.886753959190425,1.0,0.9899634779704182
arousal,shape_sorter_interaction,77,0.961038961038961,0.03896103896103896,0.922077922077922,0.03896103896103896,0.03896103896103896,0.961038961038961,0.922762591601353,0.961038961038961,0.9347941476585755,1.0,0.9760641159630112
arousal,shape_sorter_observation,59,0.8135593220338984,0.11864406779661017,0.6949152542372882,0.1864406779661017,0.22033898305084745,0.864406779661017,0.9284319589866424,0.8813559322033898,0.9299334528068424,0.8813559322033898,0.8404981171427472
arousal,sisyphus,91,0.9560439560439561,0.02197802197802198,0.9340659340659341,0.04395604395604396,0.04395604395604396,0.967032967032967,0.8840204338398134,0.967032967032967,0.8917841711621826,0.978021978021978,0.8427169550632999
arousal,stack,68,0.9411764705882353,0.058823529411764705,0.8823529411764706,0.058823529411764705,0.10294117647058823,0.9705882352941176,0.9394917847842079,0.9558823529411765,0.9309026573512842,0.9558823529411765,0.8753888684394698
valence,pick_place,42,0.7142857142857143,0.5238095238095238,0.19047619047619047,0.2857142857142857,0.6428571428571429,0.7619047619047619,0.6656766393052289,0.7142857142857143,0.48172375021814334,0.9523809523809523,0.8299514069598518
valence,shape_sorter_alone,27,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.037037037037037035,0.6666666666666666,0.7389847543434039,0.7037037037037037,0.2963390531746174,0.9629629629629629,0.3960254075523874
valence,shape_sorter_interaction,77,0.7402597402597403,0.06493506493506493,0.6753246753246753,0.2597402597402597,0.09090909090909091,0.7532467532467533,0.6847978449630477,0.7532467532467533,0.5528964728032355,0.974025974025974,0.5768380797639547
valence,shape_sorter_observation,59,0.7288135593220338,0.3728813559322034,0.3559322033898305,0.2711864406779661,0.4915254237288136,0.7457627118644068,0.6320184519216518,0.8135593220338984,0.5971849436441967,0.8983050847457628,0.8070878167488328
valence,sisyphus,91,0.7802197802197802,0.18681318681318682,0.5934065934065934,0.21978021978021978,0.25274725274725274,0.8351648351648352,0.8740456163919279,0.7912087912087912,0.6297475521716804,0.9340659340659341,0.6862631130375578
valence,stack,68,0.6617647058823529,0.22058823529411764,0.4411764705882353,0.3382352941176471,0.3382352941176471,0.6764705882352942,0.7155220331609282,0.6911764705882353,0.5318372913589073,0.9558823529411765,0.7729174099668841
