participant,target,qc_cohort,source_run,balanced_accuracy_mean,accuracy_mean,precision_mean,recall_mean,f1_mean,modality,classifier,feature_count_request,balanced_accuracy_sd,balanced_accuracy_median,balanced_accuracy_min,balanced_accuracy_max,most_frequent_hyperparameters,winner_tie_count
P06,arousal,Technically usable; QC caveat,stage_c_individual_added18_v1,0.6288344988344988,0.6434782608695653,0.6433473389355743,0.7794871794871796,0.7020366300366301,multimodal,svm,all,0.0989915243353237,0.6439393939393939,0.5192307692307692,0.7348484848484849,"{""classifier__C"": 1, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""} (3/5 folds)",1
P06,valence,Technically usable; QC caveat,stage_c_individual_added18_v1,0.6336507936507937,0.6333333333333333,0.7312820512820513,0.6228571428571429,0.6670407653316198,face,gnb,all,0.141900012349052,0.6071428571428572,0.4666666666666667,0.8444444444444444,"{""classifier__var_smoothing"": 1e-11} (5/5 folds)",3
P07,arousal,Technically usable; QC caveat,stage_c_individual_added18_v1,0.5407142857142857,0.5916666666666666,0.1910989010989011,0.4666666666666666,0.2622960372960373,multimodal,gnb,all,0.1665739538048124,0.5,0.3809523809523809,0.775,"{""classifier__var_smoothing"": 1e-11} (5/5 folds)",1
P07,valence,Technically usable; QC caveat,stage_c_individual_added18_v1,0.536608187134503,0.5460144927536231,0.8148351648351648,0.5532163742690058,0.6583333333333333,eeg,gnb,10,0.0937421610780623,0.4894736842105263,0.4631578947368421,0.6894736842105263,"{""classifier__var_smoothing"": 1e-11} (5/5 folds)",1
P08,arousal,Technically usable; QC caveat,stage_c_individual_added18_v1,0.5872727272727273,0.5874458874458874,0.5874747474747475,0.6545454545454545,0.6119758302666848,eeg,svm,5,0.0694131242502585,0.5909090909090908,0.5,0.6818181818181819,"{""classifier__C"": 0.1, ""classifier__gamma"": 0.1, ""classifier__kernel"": ""rbf""} (1/5 folds)",1
P08,valence,Technically usable; QC caveat,stage_c_individual_added18_v1,0.5945454545454545,0.5965367965367966,0.6272727272727272,0.4618181818181818,0.5256009006473403,eeg,knn,10,0.0562609034427847,0.6090909090909091,0.5,0.6363636363636364,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""} (2/5 folds)",1
P09,arousal,Technically usable; QC caveat,stage_c_individual_added18_v1,0.6246428571428572,0.7217391304347827,0.7531082608481989,0.885,0.8127554904025492,eeg,gnb,10,0.1045950799024309,0.6205357142857143,0.525,0.7857142857142857,"{""classifier__var_smoothing"": 1e-11} (5/5 folds)",2
P09,valence,Technically usable; QC caveat,stage_c_individual_added18_v1,0.597936507936508,0.6416666666666667,0.6636764705882353,0.818095238095238,0.730853889943074,face,knn,5,0.0934683452815171,0.6333333333333333,0.4714285714285714,0.6785714285714286,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""} (2/5 folds)",1
P10,arousal,Strict QC-approved,stage_b_individual_v1,0.5697552447552447,0.575,0.5895951107715813,0.6743589743589744,0.6249954387885422,face,knn,all,0.1011881406408256,0.5734265734265734,0.444055944055944,0.7027972027972028,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""} (3/5 folds)",3
P10,valence,Strict QC-approved,stage_b_individual_v1,0.5714285714285714,0.5833333333333333,0.6411616161616162,0.6428571428571429,0.6283401253918496,face,knn,all,0.0437408882639853,0.55,0.5285714285714286,0.6285714285714286,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""} (2/5 folds)",3
P11,arousal,Strict QC-approved,stage_b_individual_v1,0.5822277722277722,0.6083333333333333,0.622243391283639,0.7626373626373626,0.6836844875554553,face,knn,all,0.055291449646826,0.5928571428571429,0.4965034965034964,0.6503496503496503,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""} (2/5 folds)",3
P11,valence,Strict QC-approved,stage_b_individual_v1,0.6155594405594406,0.6083333333333333,0.696969696969697,0.4038461538461538,0.4966846463986051,face,gnb,5,0.1104150125545392,0.5833333333333333,0.5,0.7916666666666667,"{""classifier__var_smoothing"": 1e-11} (5/5 folds)",1
P12,arousal,Strict QC-approved,stage_c_individual_added18_v1,0.5,0.9666666666666668,0.9666666666666668,1.0,0.9830508474576272,eeg,gnb,all,0.0,0.5,0.5,0.5,"{""classifier__var_smoothing"": 1e-11} (4/5 folds)",22
P12,valence,Strict QC-approved,stage_c_individual_added18_v1,0.5468487394957984,0.6916666666666667,0.725750063564709,0.9044117647058822,0.8032220795892169,multimodal,knn,10,0.0914155271373176,0.5714285714285714,0.4117647058823529,0.6260504201680672,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""} (2/5 folds)",1
P13,arousal,Technically usable; QC caveat,stage_c_individual_added18_v1,0.5941666666666666,0.6039215686274509,0.6392857142857142,0.475,0.5219541569541569,eeg,svm,10,0.0897817569937728,0.6,0.45,0.6875,"{""classifier__C"": 1, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""} (2/5 folds)",1
P13,valence,Technically usable; QC caveat,stage_c_individual_added18_v1,0.5947023809523809,0.5810276679841897,0.7661904761904762,0.5608333333333333,0.625231031543052,face,gnb,all,0.1116661352028169,0.5491071428571428,0.5133928571428572,0.7904761904761906,"{""classifier__var_smoothing"": 1e-11} (5/5 folds)",3
P14,arousal,Strict QC-approved,stage_b_individual_v1,0.5916083916083916,0.6036231884057971,0.6336829836829837,0.6923076923076923,0.6538907758907759,multimodal,knn,5,0.0375829400494041,0.5734265734265734,0.5576923076923077,0.65,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""} (2/5 folds)",1
P14,valence,Strict QC-approved,stage_b_individual_v1,0.597948717948718,0.586231884057971,0.5425339366515838,0.76,0.62989417989418,multimodal,gnb,all,0.0594504339574423,0.5874125874125874,0.5303030303030303,0.6628787878787878,"{""classifier__var_smoothing"": 1e-11} (5/5 folds)",1
P15,arousal,Strict QC-approved,stage_b_individual_v1,0.587953216374269,0.725,0.8185442661913249,0.8292397660818713,0.8221872904799735,face,gnb,5,0.0891679598900973,0.5684210526315789,0.4684210526315789,0.7,"{""classifier__var_smoothing"": 1e-11} (5/5 folds)",1
P15,valence,Strict QC-approved,stage_b_individual_v1,0.6125,0.675,0.7407477970945463,0.8,0.7650574712643678,face,gnb,5,0.0900303768180495,0.625,0.46875,0.71875,"{""classifier__var_smoothing"": 1e-11} (5/5 folds)",1
P16,arousal,Strict QC-approved,stage_b_individual_v1,0.6743055555555555,0.7010869565217391,0.7707142857142857,0.7625,0.7661040044493882,eeg,svm,20,0.0721453918260092,0.7125,0.5833333333333333,0.7458333333333333,"{""classifier__C"": 10, ""classifier__gamma"": 0.1, ""classifier__kernel"": ""rbf""} (2/5 folds)",1
P16,valence,Strict QC-approved,stage_b_individual_v1,0.5874125874125874,0.6,0.6114285714285714,0.7384615384615385,0.6649859943977592,face,svm,5,0.0299762730760178,0.5734265734265734,0.5524475524475525,0.6188811188811189,"{""classifier__C"": 0.1, ""classifier__kernel"": ""linear""} (1/5 folds)",1
P17,arousal,Strict QC-approved,stage_b_individual_v1,0.5822595704948647,0.5434782608695652,0.795595238095238,0.5026143790849673,0.5966366894753992,eeg,gnb,all,0.1202687458633485,0.6225490196078431,0.3907563025210084,0.7100840336134454,"{""classifier__var_smoothing"": 1e-11} (5/5 folds)",1
P17,valence,Strict QC-approved,stage_b_individual_v1,0.6882917082917083,0.7,0.7177677224736049,0.7802197802197802,0.7439456946464733,face,svm,all,0.0771392337062344,0.6785714285714286,0.5857142857142856,0.7785714285714285,"{""classifier__C"": 1, ""classifier__kernel"": ""linear""} (3/5 folds)",3
P18,arousal,Strict QC-approved,stage_b_individual_v1,0.6015151515151516,0.6,0.6658857808857809,0.5196969696969698,0.5407832167832167,face,svm,5,0.0724964327254663,0.5833333333333334,0.5104895104895105,0.7083333333333333,"{""classifier__C"": 1, ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""} (2/5 folds)",1
P18,valence,Strict QC-approved,stage_b_individual_v1,0.6007575757575758,0.6036231884057971,0.6349261849261849,0.6,0.5859565217391304,eeg,knn,20,0.1003108689603903,0.6401515151515151,0.4356060606060606,0.6931818181818181,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""} (4/5 folds)",1
P19,arousal,Strict QC-approved,stage_b_individual_v1,0.6832167832167833,0.6916666666666667,0.7027777777777777,0.5818181818181818,0.6328146453089245,eeg,knn,10,0.0756651758545961,0.6958041958041958,0.5734265734265734,0.7797202797202798,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""distance""} (2/5 folds)",4
P19,valence,Strict QC-approved,stage_b_individual_v1,0.6001388888888889,0.6416666666666667,0.7194117647058824,0.7391666666666666,0.7264383265356569,eeg,gnb,5,0.0993108972922289,0.6111111111111112,0.46875,0.7,"{""classifier__var_smoothing"": 1e-11} (5/5 folds)",4
P20,arousal,Strict QC-approved,stage_b_individual_v1,0.593609943977591,0.639855072463768,0.7722222222222223,0.7110294117647059,0.7202158202158202,eeg,gnb,10,0.091407589112022,0.6071428571428572,0.4831932773109243,0.726890756302521,"{""classifier__var_smoothing"": 1e-11} (5/5 folds)",1
P20,valence,Strict QC-approved,stage_b_individual_v1,0.6055644355644356,0.625,0.6321491228070175,0.7802197802197803,0.6966666666666667,face,knn,all,0.1569254796458169,0.6428571428571428,0.35,0.7797202797202798,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""} (3/5 folds)",3
P21,arousal,Technically usable; QC caveat,stage_c_individual_added18_v1,0.6172127872127872,0.6416666666666666,0.6433333333333333,0.450909090909091,0.5204515745692216,face,gnb,5,0.1126927072078671,0.6503496503496503,0.5,0.7642857142857142,"{""classifier__var_smoothing"": 1e-11} (5/5 folds)",1
P21,valence,Technically usable; QC caveat,stage_c_individual_added18_v1,0.5823529411764705,0.7841897233201581,0.7998895790200138,0.9647058823529412,0.8731985368827473,multimodal,knn,10,0.1174262633981007,0.5705882352941176,0.4705882352941176,0.7705882352941176,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""} (2/5 folds)",1
P22,arousal,Strict QC-approved,stage_b_individual_v1,0.6777777777777778,0.7,0.6277777777777778,0.5755555555555556,0.6002063983488132,face,gnb,all,0.0455606711358182,0.6777777777777778,0.6071428571428572,0.7333333333333334,"{""classifier__var_smoothing"": 1e-11} (5/5 folds)",3
P22,valence,Strict QC-approved,stage_b_individual_v1,0.6385814185814185,0.6583333333333333,0.6951298701298702,0.4672727272727273,0.532016315298049,face,svm,5,0.0681129749453863,0.6428571428571428,0.5279720279720279,0.7071428571428571,"{""classifier__C"": 1, ""classifier__gamma"": 0.1, ""classifier__kernel"": ""rbf""} (2/5 folds)",1
P23,arousal,Strict QC-approved,stage_b_individual_v1,0.5983193277310924,0.6666666666666667,0.7533974358974359,0.7823529411764706,0.7622018447018447,face,knn,all,0.1058338393531981,0.5840336134453781,0.46875,0.726890756302521,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""} (3/5 folds)",3
P23,valence,Strict QC-approved,stage_b_individual_v1,0.5837462537462537,0.5833333333333334,0.52002997002997,0.5872727272727273,0.548365478914678,face,knn,all,0.1034008176953681,0.6258741258741258,0.4285714285714286,0.6928571428571428,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""distance""} (2/5 folds)",3
P24,arousal,Strict QC-approved,stage_b_individual_v1,0.5910722610722611,0.5905797101449275,0.6459090909090909,0.5948717948717949,0.6053830227743271,multimodal,knn,10,0.0813406929070684,0.5559440559440559,0.513986013986014,0.696969696969697,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""} (2/5 folds)",1
P24,valence,Strict QC-approved,stage_b_individual_v1,0.6314102564102564,0.6322463768115942,0.6021245421245421,0.6,0.5958592132505176,eeg,svm,10,0.1122600594611594,0.6258741258741258,0.4696969696969696,0.7803030303030303,"{""classifier__C"": 1, ""classifier__kernel"": ""linear""} (2/5 folds)",1
