participant,task,segment_id,window_id,window_start_s,window_end_s,condition,model_id,nearest_image_distance,outside_selected_count,outside_selected_fraction,max_abs_image_z,median_abs_image_z
P15,shape_sorter_observation,1,shape_sorter_observation_s1_16.000,16.0,18.0,no-ICA,valence__face__gnb__5,2.631565348072796,1,0.2,3.5444410940059123,1.5383624157643074
P15,shape_sorter_observation,1,shape_sorter_observation_s1_17.000,17.0,19.0,no-ICA,valence__face__gnb__5,3.2451377841881905,1,0.2,3.653517355910182,1.9468253896692629
P15,shape_sorter_observation,1,shape_sorter_observation_s1_18.000,18.0,20.0,no-ICA,valence__face__gnb__5,3.2249431474783368,0,0.0,3.4598522129725953,2.044233901257474
P15,shape_sorter_observation,1,shape_sorter_observation_s1_19.000,19.0,21.0,no-ICA,valence__face__gnb__5,3.5771402276386506,2,0.4,3.9329002358001897,2.122372416716629
P15,shape_sorter_observation,1,shape_sorter_observation_s1_20.000,20.0,22.0,no-ICA,valence__face__gnb__5,3.65371381131524,1,0.2,4.176181636058157,1.832031679618522
P15,shape_sorter_observation,1,shape_sorter_observation_s1_21.000,21.0,23.0,no-ICA,valence__face__gnb__5,3.498927068678938,1,0.2,4.087149616240753,1.7407788963824926
P15,shape_sorter_observation,1,shape_sorter_observation_s1_22.000,22.0,24.0,no-ICA,valence__face__gnb__5,3.038435665158497,2,0.4,3.561379076960098,1.136364464908815
P15,shape_sorter_observation,1,shape_sorter_observation_s1_23.000,23.0,25.0,no-ICA,valence__face__gnb__5,2.0855734753980886,2,0.4,2.5067491999842497,1.7697350816548327
P15,shape_sorter_observation,1,shape_sorter_observation_s1_24.000,24.0,26.0,no-ICA,valence__face__gnb__5,1.6552674163534336,0,0.0,1.9936264471123069,1.5706863414468464
P15,shape_sorter_observation,1,shape_sorter_observation_s1_25.000,25.0,27.0,no-ICA,valence__face__gnb__5,1.8295228737821185,0,0.0,2.1660917745508828,0.9250056965037491
P15,shape_sorter_observation,1,shape_sorter_observation_s1_26.000,26.0,28.0,no-ICA,valence__face__gnb__5,1.0354893971719574,0,0.0,1.374572036424807,0.7841804158456198
P15,shape_sorter_observation,1,shape_sorter_observation_s1_27.000,27.0,29.0,no-ICA,valence__face__gnb__5,0.8451351585305651,0,0.0,1.32391195924623,1.1880310281125608
P15,shape_sorter_observation,1,shape_sorter_observation_s1_28.000,28.0,30.0,no-ICA,valence__face__gnb__5,1.1225364411930427,0,0.0,2.518341678709129,2.0872997212535735
