participant,target,outer_fold,outer_folds,outer_train_size,outer_test_size,low_count,high_count,classifier,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,selected_threshold,selection_oof_ba_fixed_050,selection_oof_fold_ba_sd_fixed_050,selection_oof_ba_at_selected_threshold,final_refit_best_parameters,final_refit_inner_balanced_accuracy,fixed_threshold_ba,optimized_threshold_ba,fixed_threshold_sensitivity,fixed_threshold_specificity,optimized_threshold_sensitivity,optimized_threshold_specificity
P28,arousal,1,5,88,23,32,79,svm,paper_compact,all_channels,8,secondary,64,0.5,0.5241269841269841,0.06637193922094338,0.5241269841269841,"{""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}",0.5099206349206349,0.5,0.5,1.0,0.0,1.0,0.0
P28,arousal,2,5,89,22,32,79,gnb,paper_compact,frontal_central,8,secondary,32,0.4,0.5686813186813187,0.052394979683434796,0.5845543345543346,"{""classifier__var_smoothing"": 1e-11}",0.5701058201058201,0.4583333333333333,0.4895833333333333,0.75,0.16666666666666666,0.8125,0.16666666666666666
P28,arousal,3,5,89,22,32,79,logreg,all_eeg,all_channels,10,primary,120,0.5,0.5641025641025641,0.0788009048074417,0.5641025641025641,"{""classifier__C"": 0.01, ""classifier__class_weight"": null}",0.5595238095238094,0.28125,0.28125,0.5625,0.0,0.5625,0.0
P28,arousal,4,5,89,22,32,79,svm,all_eeg,all_channels,8,primary,120,0.5,0.5485347985347986,0.058500911078031716,0.5485347985347986,"{""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__kernel"": ""linear""}",0.5410052910052909,0.5,0.5,1.0,0.0,1.0,0.0
P28,arousal,5,5,89,22,32,79,gnb,paper_compact,frontal_central,10,secondary,32,0.5,0.6559375000000001,0.060772406473551886,0.6559375000000001,"{""classifier__var_smoothing"": 1e-11}",0.6572570947570947,0.5142857142857142,0.5142857142857142,0.6,0.42857142857142855,0.6,0.42857142857142855
