participant,condition,target,model_id,model_rank,modality,classifier,feature_request,task,n_windows,mean_high_probability,median_high_probability,sd_high_probability,fraction_predicted_high
P15,ICA,arousal,arousal__face__gnb__5,1,face,gnb,5,pick_place,20,0.3522172524768127,0.17035609450803785,0.3892657841353795,0.35
P15,ICA,arousal,arousal__face__gnb__5,1,face,gnb,5,shape_sorter_alone,12,0.5274723789148663,0.617906069851776,0.3696387121899444,0.5833333333333334
P15,ICA,arousal,arousal__face__gnb__5,1,face,gnb,5,shape_sorter_interaction,80,0.7859706449588336,0.9614424023910964,0.31274094928470425,0.825
P15,ICA,arousal,arousal__face__gnb__5,1,face,gnb,5,shape_sorter_observation,104,0.7559751595405785,0.9599224568776215,0.35790364752968085,0.7596153846153846
P15,ICA,arousal,arousal__face__gnb__5,1,face,gnb,5,sisyphus,95,0.6656914985240718,0.8757557002859646,0.36801488177574454,0.7052631578947368
P15,ICA,arousal,arousal__face__gnb__5,1,face,gnb,5,stack,61,0.811438745720732,0.9751474648256124,0.2963316096217013,0.8524590163934426
P15,ICA,arousal,arousal__multimodal__gnb__20,3,multimodal,gnb,20,pick_place,20,0.8935993681940031,0.999998103423759,0.305973392246601,0.9
P15,ICA,arousal,arousal__multimodal__gnb__20,3,multimodal,gnb,20,shape_sorter_alone,12,0.9764590357732622,0.9999999999987138,0.07618725191521183,1.0
P15,ICA,arousal,arousal__multimodal__gnb__20,3,multimodal,gnb,20,shape_sorter_interaction,80,0.8663788825466809,0.999826249472423,0.2789293637108714,0.8625
P15,ICA,arousal,arousal__multimodal__gnb__20,3,multimodal,gnb,20,shape_sorter_observation,104,0.9015620007999435,0.9995605305841853,0.230089090927927,0.9423076923076923
P15,ICA,arousal,arousal__multimodal__gnb__20,3,multimodal,gnb,20,sisyphus,95,1.627823109142988e-07,0.0,1.5866057074544226e-06,0.0
P15,ICA,arousal,arousal__multimodal__gnb__20,3,multimodal,gnb,20,stack,61,0.9415921626809464,0.999796998012484,0.20207019053405706,0.9508196721311475
