participant,task,target,condition,n_valid_windows,rank1_model_label,rank1_mean_high_probability,rank1_median_high_probability,rank1_fraction_high_windows,rank1_task_verdict,rank2_model_label,rank2_mean_high_probability,rank2_median_high_probability,rank2_fraction_high_windows,rank2_task_verdict,rank3_model_label,rank3_mean_high_probability,rank3_median_high_probability,rank3_fraction_high_windows,rank3_task_verdict,consensus_median_probability,consensus_verdict,models_voting_HIGH,models_voting_LOW,unanimous_verdict,agreement_fraction,robot_rating,robot_rating_class,consensus_matches_rating,rank1_matches_rating,rank2_matches_rating,rank3_matches_rating,shift_warning,ica_no_ica_same_consensus_verdict
P15,pick_place,valence,no-ICA,20,Face GNB Top-5,0.16032245451439878,0.06330203976162325,0.1,LOW,Eeg SVM Top-20,0.7464155758315069,0.7525014423399353,0.88,HIGH,Face GNB Top-10,0.03955208056073466,2.0110391176238952e-05,0.0,LOW,0.06330203976162325,LOW,1,2,False,0.32,5.0,HIGH,False,False,True,False,None,True
P15,shape_sorter_alone,valence,ICA,12,Face GNB Top-5,0.21692413465911511,0.03351897213106835,0.25,LOW,Eeg SVM Top-20,0.7658852557162363,0.7689418630641023,0.9130434782608695,HIGH,Face GNB Top-10,0.11391200525012878,1.6028302327233255e-05,0.16666666666666666,LOW,0.03351897213106835,LOW,1,2,False,0.6521739130434783,5.0,HIGH,False,False,True,False,None,True
P15,shape_sorter_alone,valence,no-ICA,12,Face GNB Top-5,0.21692413465911511,0.03351897213106835,0.25,LOW,Eeg SVM Top-20,0.7658852557162356,0.76894186306409,0.9130434782608695,HIGH,Face GNB Top-10,0.11391200525012878,1.6028302327233255e-05,0.16666666666666666,LOW,0.03351897213106835,LOW,1,2,False,0.6521739130434783,5.0,HIGH,False,False,True,False,None,True
P15,shape_sorter_interaction,valence,ICA,80,Face GNB Top-5,0.24473786506474388,0.12563628412347824,0.1875,LOW,Eeg SVM Top-20,0.6733683872700564,0.6854174027405039,0.7176470588235294,HIGH,Face GNB Top-10,0.067521225644439,0.004961205426339399,0.0375,LOW,0.12563628412347824,LOW,1,2,False,0.35294117647058826,6.0,HIGH,False,False,True,False,None,True
P15,shape_sorter_interaction,valence,no-ICA,80,Face GNB Top-5,0.24473786506474388,0.12563628412347824,0.1875,LOW,Eeg SVM Top-20,0.6733683872700993,0.6854174027406035,0.7176470588235294,HIGH,Face GNB Top-10,0.067521225644439,0.004961205426339399,0.0375,LOW,0.12563628412347824,LOW,1,2,False,0.35294117647058826,6.0,HIGH,False,False,True,False,None,True
P15,shape_sorter_observation,valence,ICA,104,Face GNB Top-5,0.2984237747817987,0.19480462461497766,0.2692307692307692,LOW,Eeg SVM Top-20,0.6736871759152292,0.7181998301357144,0.7222222222222222,HIGH,Face GNB Top-10,0.07963790810399254,0.01475347145875645,0.038461538461538464,LOW,0.19480462461497766,LOW,1,2,False,0.2777777777777778,6.0,HIGH,False,False,True,False,None,True
P15,shape_sorter_observation,valence,no-ICA,104,Face GNB Top-5,0.2984237747817987,0.19480462461497766,0.2692307692307692,LOW,Eeg SVM Top-20,0.6736871759152384,0.7181998301357367,0.7222222222222222,HIGH,Face GNB Top-10,0.07963790810399254,0.01475347145875645,0.038461538461538464,LOW,0.19480462461497766,LOW,1,2,False,0.2777777777777778,6.0,HIGH,False,False,True,False,None,True
P15,sisyphus,valence,ICA,95,Face GNB Top-5,0.44914891772789756,0.5096730694542276,0.5052631578947369,HIGH,Eeg SVM Top-20,0.7278971299854567,0.7280032142241653,1.0,HIGH,Face GNB Top-10,0.20021695771503079,0.0420238066114605,0.17894736842105263,LOW,0.5096730694542276,HIGH,2,1,False,0.27102803738317754,5.0,HIGH,True,True,True,False,ICA: R2,True
P15,sisyphus,valence,no-ICA,95,Face GNB Top-5,0.44914891772789756,0.5096730694542276,0.5052631578947369,HIGH,Eeg SVM Top-20,0.6780126414607616,0.7280032142241653,0.6728971962616822,HIGH,Face GNB Top-10,0.20021695771503079,0.0420238066114605,0.17894736842105263,LOW,0.5096730694542276,HIGH,2,1,False,0.37383177570093457,5.0,HIGH,True,True,True,False,None,True
P15,stack,valence,ICA,61,Face GNB Top-5,0.30543355218045964,0.2869776275322607,0.29508196721311475,LOW,Eeg SVM Top-20,0.645402096359421,0.7034412562612139,0.6521739130434783,HIGH,Face GNB Top-10,0.13288599127434336,0.0664653297469457,0.08196721311475409,LOW,0.2869776275322607,LOW,1,2,False,0.42028985507246375,6.0,HIGH,False,False,True,False,None,True
P15,stack,valence,no-ICA,61,Face GNB Top-5,0.30543355218045964,0.2869776275322607,0.29508196721311475,LOW,Eeg SVM Top-20,0.645402096359425,0.7034412562612526,0.6521739130434783,HIGH,Face GNB Top-10,0.13288599127434336,0.0664653297469457,0.08196721311475409,LOW,0.2869776275322607,LOW,1,2,False,0.42028985507246375,6.0,HIGH,False,False,True,False,None,True
