representation,source_run,target,modality,classifier,feature_count_request,feature_count_resolved,outer_folds,mean_nested_cv_balanced_accuracy,sd_nested_cv_balanced_accuracy,mean_low_recall,mean_high_recall,exact_mean_BA_top_tie
no_ICA,p19_no_ica,arousal,eeg,knn,10,10,5,0.6573426573426573,0.05588939637463567,0.7692307692307693,0.5454545454545454,False
no_ICA,p19_no_ica,valence,eeg,gnb,10,10,5,0.6015277777777778,0.09013129141068611,0.46388888888888885,0.7391666666666666,False
with_ICA,p19_final,arousal,eeg,knn,10,10,5,0.6832167832167833,0.0756651758545961,0.7846153846153847,0.5818181818181818,True
with_ICA,p19_final,arousal,eeg,svm,5,5,5,0.6832167832167833,0.07282470611626485,0.7846153846153847,0.5818181818181818,True
with_ICA,p19_final,valence,eeg,gnb,10,10,5,0.6001388888888889,0.08376681239025809,0.48611111111111105,0.7141666666666666,True
with_ICA,p19_final,valence,eeg,gnb,5,5,5,0.6001388888888889,0.09931089729222899,0.4611111111111111,0.7391666666666666,True
