mode,participant,held_out_participant,target,modality,classifier,feature_count_request,feature_count_resolved,fold,best_parameters,inner_best_balanced_accuracy,representation,source_run
individual,P19,P19,valence,eeg,svm,20,20,3,"{""classifier__C"": 1, ""classifier__kernel"": ""linear""}",0.625937950937951,with_ICA,p19_final
individual,P19,P19,valence,eeg,svm,20,20,4,"{""classifier__C"": 1, ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}",0.5699855699855699,with_ICA,p19_final
individual,P19,P19,valence,eeg,svm,20,20,5,"{""classifier__C"": 1, ""classifier__kernel"": ""linear""}",0.5264069264069264,with_ICA,p19_final
individual,P19,P19,valence,eeg,gnb,all,all,1,"{""classifier__var_smoothing"": 1e-11}",0.558008658008658,with_ICA,p19_final
individual,P19,P19,valence,eeg,gnb,all,all,2,"{""classifier__var_smoothing"": 1e-11}",0.5678571428571428,with_ICA,p19_final
individual,P19,P19,valence,eeg,gnb,all,all,3,"{""classifier__var_smoothing"": 1e-11}",0.5764430014430014,with_ICA,p19_final
individual,P19,P19,valence,eeg,gnb,all,all,4,"{""classifier__var_smoothing"": 1e-11}",0.53488455988456,with_ICA,p19_final
individual,P19,P19,valence,eeg,gnb,all,all,5,"{""classifier__var_smoothing"": 1e-11}",0.48387445887445885,with_ICA,p19_final
individual,P19,P19,valence,eeg,gnb,5,5,1,"{""classifier__var_smoothing"": 1e-11}",0.5174963924963925,with_ICA,p19_final
individual,P19,P19,valence,eeg,gnb,5,5,2,"{""classifier__var_smoothing"": 1e-11}",0.584992784992785,with_ICA,p19_final
individual,P19,P19,valence,eeg,gnb,5,5,3,"{""classifier__var_smoothing"": 1e-11}",0.5151875901875902,with_ICA,p19_final
individual,P19,P19,valence,eeg,gnb,5,5,4,"{""classifier__var_smoothing"": 1e-11}",0.5542568542568543,with_ICA,p19_final
individual,P19,P19,valence,eeg,gnb,5,5,5,"{""classifier__var_smoothing"": 1e-11}",0.4910894660894661,with_ICA,p19_final
individual,P19,P19,valence,eeg,gnb,10,10,1,"{""classifier__var_smoothing"": 1e-11}",0.5479437229437228,with_ICA,p19_final
individual,P19,P19,valence,eeg,gnb,10,10,2,"{""classifier__var_smoothing"": 1e-11}",0.5984848484848484,with_ICA,p19_final
individual,P19,P19,valence,eeg,gnb,10,10,3,"{""classifier__var_smoothing"": 1e-11}",0.5290764790764791,with_ICA,p19_final
individual,P19,P19,valence,eeg,gnb,10,10,4,"{""classifier__var_smoothing"": 1e-11}",0.55995670995671,with_ICA,p19_final
individual,P19,P19,valence,eeg,gnb,10,10,5,"{""classifier__var_smoothing"": 1e-11}",0.5047258297258297,with_ICA,p19_final
individual,P19,P19,valence,eeg,gnb,20,20,1,"{""classifier__var_smoothing"": 1e-11}",0.5373015873015873,with_ICA,p19_final
individual,P19,P19,valence,eeg,gnb,20,20,2,"{""classifier__var_smoothing"": 1e-11}",0.5837301587301588,with_ICA,p19_final
individual,P19,P19,valence,eeg,gnb,20,20,3,"{""classifier__var_smoothing"": 1e-11}",0.5546176046176047,with_ICA,p19_final
individual,P19,P19,valence,eeg,gnb,20,20,4,"{""classifier__var_smoothing"": 1e-11}",0.5714646464646465,with_ICA,p19_final
individual,P19,P19,valence,eeg,gnb,20,20,5,"{""classifier__var_smoothing"": 1e-11}",0.5279220779220779,with_ICA,p19_final
individual,P19,P19,arousal,eeg,knn,all,all,1,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5525676937441643,with_ICA,p19_final
individual,P19,P19,arousal,eeg,knn,all,all,2,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.5826019296607531,with_ICA,p19_final
individual,P19,P19,arousal,eeg,knn,all,all,3,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.6427170868347339,with_ICA,p19_final
individual,P19,P19,arousal,eeg,knn,all,all,4,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.6638344226579521,with_ICA,p19_final
individual,P19,P19,arousal,eeg,knn,all,all,5,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.6135854341736695,with_ICA,p19_final
individual,P19,P19,arousal,eeg,knn,5,5,1,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.6220666044195456,with_ICA,p19_final
individual,P19,P19,arousal,eeg,knn,5,5,2,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""distance""}",0.6580143168378463,with_ICA,p19_final
individual,P19,P19,arousal,eeg,knn,5,5,3,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.6402894491129785,with_ICA,p19_final
individual,P19,P19,arousal,eeg,knn,5,5,4,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.6474945533769064,with_ICA,p19_final
individual,P19,P19,arousal,eeg,knn,5,5,5,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.6320883909119203,with_ICA,p19_final
individual,P19,P19,arousal,eeg,knn,10,10,1,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""distance""}",0.5559757236227824,with_ICA,p19_final
individual,P19,P19,arousal,eeg,knn,10,10,2,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""distance""}",0.6093215063803299,with_ICA,p19_final
individual,P19,P19,arousal,eeg,knn,10,10,3,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""distance""}",0.6532212885154062,with_ICA,p19_final
individual,P19,P19,arousal,eeg,knn,10,10,4,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.6625894802365391,with_ICA,p19_final
individual,P19,P19,arousal,eeg,knn,10,10,5,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.6587924058512294,with_ICA,p19_final
individual,P19,P19,arousal,eeg,knn,20,20,1,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.586943666355431,with_ICA,p19_final
individual,P19,P19,arousal,eeg,knn,20,20,2,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.6116713352007469,with_ICA,p19_final
individual,P19,P19,arousal,eeg,knn,20,20,3,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.6315126050420168,with_ICA,p19_final
individual,P19,P19,arousal,eeg,knn,20,20,4,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.6532990974167445,with_ICA,p19_final
individual,P19,P19,arousal,eeg,knn,20,20,5,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5993152816682228,with_ICA,p19_final
individual,P19,P19,arousal,eeg,svm,all,all,1,"{""classifier__C"": 1, ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}",0.5387643946467476,with_ICA,p19_final
individual,P19,P19,arousal,eeg,svm,all,all,2,"{""classifier__C"": 10, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.6331777155306567,with_ICA,p19_final
individual,P19,P19,arousal,eeg,svm,all,all,3,"{""classifier__C"": 1, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.6128540305010893,with_ICA,p19_final
individual,P19,P19,arousal,eeg,svm,all,all,4,"{""classifier__C"": 1, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.614161220043573,with_ICA,p19_final
individual,P19,P19,arousal,eeg,svm,all,all,5,"{""classifier__C"": 1, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.5574696545284781,with_ICA,p19_final
individual,P19,P19,arousal,eeg,svm,5,5,1,"{""classifier__C"": 10, ""classifier__kernel"": ""linear""}",0.6262682850918145,with_ICA,p19_final
individual,P19,P19,arousal,eeg,svm,5,5,2,"{""classifier__C"": 0.1, ""classifier__kernel"": ""linear""}",0.7210084033613446,with_ICA,p19_final
individual,P19,P19,arousal,eeg,svm,5,5,3,"{""classifier__C"": 1, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.6596483037659508,with_ICA,p19_final
individual,P19,P19,arousal,eeg,svm,5,5,4,"{""classifier__C"": 0.1, ""classifier__kernel"": ""linear""}",0.6572984749455337,with_ICA,p19_final
individual,P19,P19,arousal,eeg,svm,5,5,5,"{""classifier__C"": 1, ""classifier__kernel"": ""linear""}",0.6839402427637721,with_ICA,p19_final
individual,P19,P19,arousal,eeg,svm,10,10,1,"{""classifier__C"": 10, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.5572206660441955,with_ICA,p19_final
individual,P19,P19,arousal,eeg,svm,10,10,2,"{""classifier__C"": 1, ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}",0.655399937752879,with_ICA,p19_final
individual,P19,P19,arousal,eeg,svm,10,10,3,"{""classifier__C"": 1, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.6641145347027699,with_ICA,p19_final
