mode,participant,held_out_participant,target,modality,classifier,feature_count_request,feature_count_resolved,fold,best_parameters,inner_best_balanced_accuracy,representation,source_run
individual,P19,P19,valence,eeg,gnb,all,all,5,"{""classifier__var_smoothing"": 1e-11}",0.4783189033189033,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,gnb,5,5,1,"{""classifier__var_smoothing"": 1e-11}",0.5187590187590188,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,gnb,5,5,2,"{""classifier__var_smoothing"": 1e-11}",0.5790404040404039,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,gnb,5,5,3,"{""classifier__var_smoothing"": 1e-11}",0.5386724386724386,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,gnb,5,5,4,"{""classifier__var_smoothing"": 1e-11}",0.567027417027417,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,gnb,5,5,5,"{""classifier__var_smoothing"": 1e-11}",0.49260461760461755,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,gnb,10,10,1,"{""classifier__var_smoothing"": 1e-11}",0.532070707070707,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,gnb,10,10,2,"{""classifier__var_smoothing"": 1e-11}",0.6226911976911976,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,gnb,10,10,3,"{""classifier__var_smoothing"": 1e-11}",0.5435064935064935,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,gnb,10,10,4,"{""classifier__var_smoothing"": 1e-11}",0.5682900432900433,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,gnb,10,10,5,"{""classifier__var_smoothing"": 1e-11}",0.4936147186147186,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,gnb,20,20,1,"{""classifier__var_smoothing"": 1e-11}",0.5380952380952381,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,gnb,20,20,2,"{""classifier__var_smoothing"": 1e-11}",0.5678571428571428,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,gnb,20,20,3,"{""classifier__var_smoothing"": 1e-11}",0.59992784992785,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,gnb,20,20,4,"{""classifier__var_smoothing"": 1e-11}",0.5960678210678211,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,gnb,20,20,5,"{""classifier__var_smoothing"": 1e-11}",0.5058441558441559,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,knn,all,all,1,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5324463118580766,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,knn,all,all,2,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.5871148459383754,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,knn,all,all,3,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.6114534702769997,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,knn,all,all,4,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.6762838468720821,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,knn,all,all,5,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.595066915655151,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,knn,5,5,1,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""distance""}",0.6197012138188609,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,knn,5,5,2,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""distance""}",0.6244319950202303,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,knn,5,5,3,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.6241830065359478,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,knn,5,5,4,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.6284313725490196,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,knn,5,5,5,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.6625116713352007,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,knn,10,10,1,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.6729536258948023,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,knn,10,10,2,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.6082788671023965,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,knn,10,10,3,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""distance""}",0.6506069094304389,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,knn,10,10,4,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.6210239651416122,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,knn,10,10,5,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""distance""}",0.6522564581388112,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,knn,20,20,1,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""distance""}",0.6171179582944288,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,knn,20,20,2,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.5700902583255524,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,knn,20,20,3,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5979769685652039,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,knn,20,20,4,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.6347494553376906,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,knn,20,20,5,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.5982259570494864,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,svm,all,all,1,"{""classifier__C"": 1, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.5300497976968566,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,svm,all,all,2,"{""classifier__C"": 10, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.6011515717398069,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,svm,all,all,3,"{""classifier__C"": 1, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.5879863056333644,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,svm,all,all,4,"{""classifier__C"": 1, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.6043572984749456,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,svm,all,all,5,"{""classifier__C"": 1, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.5561624649859944,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,svm,5,5,1,"{""classifier__C"": 10, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.6488639900404606,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,svm,5,5,2,"{""classifier__C"": 1, ""classifier__kernel"": ""linear""}",0.7032835356364768,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,svm,5,5,3,"{""classifier__C"": 0.1, ""classifier__kernel"": ""linear""}",0.650093370681606,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,svm,5,5,4,"{""classifier__C"": 1, ""classifier__kernel"": ""linear""}",0.6376906318082788,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,svm,5,5,5,"{""classifier__C"": 1, ""classifier__kernel"": ""linear""}",0.7159663865546219,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,svm,10,10,1,"{""classifier__C"": 10, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.6151571739807034,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,svm,10,10,2,"{""classifier__C"": 0.1, ""classifier__kernel"": ""linear""}",0.6355431061313415,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,svm,10,10,3,"{""classifier__C"": 0.1, ""classifier__kernel"": ""linear""}",0.6720354808590102,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,svm,10,10,4,"{""classifier__C"": 10, ""classifier__kernel"": ""linear""}",0.650093370681606,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,svm,10,10,5,"{""classifier__C"": 1, ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}",0.6763616557734204,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,svm,20,20,1,"{""classifier__C"": 10, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.5649237472766885,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,svm,20,20,2,"{""classifier__C"": 0.1, ""classifier__kernel"": ""linear""}",0.6101151571739807,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,svm,20,20,3,"{""classifier__C"": 10, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.6165266106442576,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,svm,20,20,4,"{""classifier__C"": 1, ""classifier__kernel"": ""linear""}",0.6083255524431995,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,svm,20,20,5,"{""classifier__C"": 1, ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}",0.5747121070650483,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,gnb,all,all,1,"{""classifier__var_smoothing"": 1e-11}",0.5730469965764083,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,gnb,all,all,2,"{""classifier__var_smoothing"": 1e-11}",0.5899937752878929,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,gnb,all,all,3,"{""classifier__var_smoothing"": 1e-11}",0.5465919701213818,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,gnb,all,all,4,"{""classifier__var_smoothing"": 1e-11}",0.6068938686585746,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,gnb,all,all,5,"{""classifier__var_smoothing"": 1e-11}",0.5343915343915343,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,gnb,5,5,1,"{""classifier__var_smoothing"": 1e-11}",0.5442421413009648,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,gnb,5,5,2,"{""classifier__var_smoothing"": 1e-11}",0.6836445689386866,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,gnb,5,5,3,"{""classifier__var_smoothing"": 1e-11}",0.6299875505757858,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,gnb,5,5,4,"{""classifier__var_smoothing"": 1e-11}",0.6217864923747277,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,gnb,5,5,5,"{""classifier__var_smoothing"": 1e-11}",0.6148770619358855,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,gnb,10,10,1,"{""classifier__var_smoothing"": 1e-11}",0.5529567382508559,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,gnb,10,10,2,"{""classifier__var_smoothing"": 1e-11}",0.6719887955182072,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,gnb,10,10,3,"{""classifier__var_smoothing"": 1e-11}",0.6175381263616557,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,gnb,10,10,4,"{""classifier__var_smoothing"": 1e-11}",0.6363367569249923,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,gnb,10,10,5,"{""classifier__var_smoothing"": 1e-11}",0.5748677248677249,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,gnb,20,20,1,"{""classifier__var_smoothing"": 1e-11}",0.5476657329598505,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,gnb,20,20,2,"{""classifier__var_smoothing"": 1e-11}",0.6265328353563647,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,gnb,20,20,3,"{""classifier__var_smoothing"": 1e-11}",0.5667444755680049,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,gnb,20,20,4,"{""classifier__var_smoothing"": 1e-11}",0.6061313414254591,no_ICA,p19_no_ica
individual,P19,P19,arousal,eeg,gnb,20,20,5,"{""classifier__var_smoothing"": 1e-11}",0.5343915343915343,no_ICA,p19_no_ica
