mode,participant,target,modality,regressor,feature_count_request,feature_count_resolved,folds,rmse_mean,rmse_std,rmse_median,rmse_min,rmse_max,mae_mean,mae_std,mae_median,mae_min,mae_max,r2_mean,r2_std,r2_median,r2_min,r2_max,explained_variance_mean,explained_variance_std,explained_variance_median,explained_variance_min,explained_variance_max
individual,P10,arousal,eeg,knn,10,10,5,1.647473070499387,0.1402321324517953,1.664050275279843,1.4711411211529324,1.8423378029057473,1.3974277225066423,0.1593974510115313,1.3044880139059745,1.2462121212121213,1.5993172652939034,-0.1904211175813441,0.188752368812541,-0.10846538484046553,-0.5085371466735893,-0.03970939970636689,-0.1663127088343159,0.19578453770892643,-0.10767860277909658,-0.49806239468417446,0.010091053839632047
individual,P10,arousal,eeg,knn,20,20,5,1.6108056065479261,0.13746829971669933,1.6119816526514341,1.401863183650577,1.7784484214839595,1.3830877257732903,0.1875658107147157,1.3863636363636365,1.125,1.6477272727272727,-0.13626123596758616,0.1585299919682105,-0.14857176297702734,-0.3327126421493647,0.05590747110195127,-0.0948208959649764,0.1517199329973739,-0.14815561378754305,-0.22855524292759122,0.1319005507344274
individual,P10,arousal,eeg,knn,5,5,5,1.7502686543438088,0.17767002552462008,1.7196802829253157,1.5164388470556616,1.9604421270043484,1.5065301796885828,0.1654702217626477,1.53030303030303,1.2803030303030305,1.7333333333333332,-0.3425536682974266,0.2289864521090193,-0.2571867014324636,-0.7081481481481484,-0.10472225477153851,-0.32100459445150353,0.24330161058024524,-0.24459818845055992,-0.7050617283950615,-0.05837509219115122
individual,P10,arousal,eeg,knn,all,all,5,1.5563096375708856,0.09099039014641894,1.5738260306195369,1.4246453330807884,1.6554294226626025,1.3625958744685132,0.13222514084963174,1.375,1.1818181818181819,1.529637822069026,-0.059043887295454824,0.09395489089486703,-0.0349630342477778,-0.16127982878253788,0.030767157743442297,-0.02968429024511008,0.1217966371825289,-0.034963034247778024,-0.16113643598763217,0.1414608592559914
individual,P10,arousal,eeg,ridge,10,10,5,1.6440394361701436,0.15717114608124663,1.712316758587271,1.4195485072135932,1.7835411126945155,1.430146862293212,0.18465653185383643,1.4479811712275399,1.192513295686145,1.663703610995535,-0.18101491065262626,0.1560264402639432,-0.21525779885635976,-0.34035617175335475,0.031936657668533375,-0.1468829152658918,0.16273881994150222,-0.2145830586915669,-0.2811141857150783,0.10646010265219974
individual,P10,arousal,eeg,ridge,20,20,5,1.5858265042470863,0.16524648598727576,1.6236069658814913,1.3272263868940362,1.7320991948132043,1.392816199438506,0.1766419184689913,1.3954756687413885,1.1451544986030653,1.6198280837710577,-0.09909053666143179,0.15840374681412217,-0.15039708586984402,-0.2641525599907746,0.15376045698828056,-0.06780486088488695,0.16554028848626548,-0.15013515491635632,-0.18634884894500203,0.21628392231938554
individual,P10,arousal,eeg,ridge,5,5,5,1.6171660011081062,0.14498136150619564,1.6722834736728838,1.4252822579899398,1.7686218475061959,1.406142304721852,0.16779616236934158,1.412864526527257,1.1901244349666042,1.5801333230181651,-0.14158748180218667,0.12852903698569929,-0.22400909370809008,-0.24290311836419853,0.024100583314462742,-0.10875237280324024,0.14457318300931554,-0.1858992565037514,-0.22238435545853097,0.108401945967747
individual,P10,arousal,eeg,ridge,all,all,5,1.6148387705144764,0.13642254696652686,1.6909141423317757,1.39672544575707,1.7251046632109694,1.4181607455811143,0.1433807168776508,1.4744566860482784,1.181333622011042,1.5251411280184985,-0.13982359736551786,0.13693994321442293,-0.16451629962130854,-0.30295385747269465,0.06281486639252332,-0.11289886716700859,0.16421037439842992,-0.15683147991808655,-0.30053419204381626,0.14695696907346
individual,P10,arousal,eeg,svr,10,10,5,1.6709663971958981,0.15428870925132407,1.597613336424946,1.5827173887683288,1.944651405535277,1.3719791993458035,0.11686983958391708,1.3218081038940763,1.295609958707649,1.5761904396928934,-0.21996285112286781,0.15410597685777158,-0.18917838717543556,-0.47978355658491134,-0.07075339251933888,-0.1097578283630494,0.2131731974965424,-0.05316981789710429,-0.475601376320854,0.08478173535746414
individual,P10,arousal,eeg,svr,20,20,5,1.7153742069314954,0.04697174519427983,1.7375498920439767,1.6543203060000582,1.767898809785378,1.4660506396265522,0.09253380629401571,1.4482536009792284,1.3665563054271221,1.6107983399135062,-0.287012702016553,0.07201470833193668,-0.31474794721452626,-0.3691764765373253,-0.18137898461210078,-0.19644217612806586,0.14992350501410004,-0.23510177418165035,-0.34838335347601856,0.04892764783250925
