mode,participant,held_out_participant,target,modality,regressor,feature_count_request,feature_count_resolved,fold,training_participants,sample_size,train_size,test_size,rmse,mae,r2,explained_variance
individual,P43,P43,valence,eeg,knn,all,all,5,P43,120,96,24,1.1324173903669572,0.931818181818182,-0.16139092468423488,-0.15260668433910274
individual,P45,P45,valence,eeg,knn,all,all,1,P45,120,96,24,1.6785978271362272,1.5418398166020115,-0.11776158622140676,-0.09640392614682991
individual,P45,P45,valence,eeg,knn,all,all,2,P45,120,96,24,1.1711346949984878,0.8825757575757575,0.05838315980259845,0.06911021582166887
individual,P45,P45,valence,eeg,knn,all,all,3,P45,120,96,24,1.4843653367422853,1.2602479347897704,-0.01774186117329113,-0.0034496479135015523
individual,P45,P45,valence,eeg,knn,all,all,4,P45,120,96,24,1.5633985019927126,1.3106060606060606,-0.27639870226205,-0.22353011696125513
individual,P45,P45,valence,eeg,knn,all,all,5,P45,120,96,24,1.6197600407256874,1.4204545454545456,-0.13795678582097004,-0.046842327989644605
individual,P10,P10,valence,eeg,knn,5,5,1,P10,120,96,24,2.2344327467200724,1.877759393076633,-0.6229059068725977,-0.5120120737566796
individual,P10,P10,valence,eeg,knn,5,5,2,P10,120,96,24,2.1660573417417877,1.965909090909091,-0.26048476625138783,-0.2604809115579132
individual,P10,P10,valence,eeg,knn,5,5,3,P10,120,96,24,2.1237678153200266,1.8257610995856162,-0.29124477456867726,-0.28761171457078594
individual,P10,P10,valence,eeg,knn,5,5,4,P10,120,96,24,2.030662713163568,1.7769158145278299,-0.16487908164222964,-0.15556985004993784
individual,P10,P10,valence,eeg,knn,5,5,5,P10,120,96,24,2.2997634325577985,2.109848484848485,-0.5141218802885166,-0.32069976833215574
individual,P11,P11,valence,eeg,knn,5,5,1,P11,120,96,24,2.334980725022349,2.0113636363636362,-0.13824927584853786,-0.12559347469888182
individual,P11,P11,valence,eeg,knn,5,5,2,P11,120,96,24,2.337854729937686,2.106060606060606,-0.2907606762018031,-0.18817155113699902
individual,P11,P11,valence,eeg,knn,5,5,3,P11,120,96,24,2.178896402236793,1.7689393939393943,-0.1807476555474672,-0.1428902781940935
individual,P11,P11,valence,eeg,knn,5,5,4,P11,120,96,24,2.4817953436516906,2.215469760685679,-0.19856806810683092,-0.1983628440620906
individual,P11,P11,valence,eeg,knn,5,5,5,P11,120,96,24,2.093460235489501,1.859848484848485,-0.011363636363636465,-0.005797706081797083
individual,P19,P19,valence,eeg,knn,5,5,1,P19,120,96,24,2.195035721390843,1.840909090909091,-0.18804483188044818,-0.1871391373259368
individual,P19,P19,valence,eeg,knn,5,5,2,P19,120,96,24,1.6489415588379142,1.3333333333333333,-0.12591571555038006,-0.040359810113421046
individual,P19,P19,valence,eeg,knn,5,5,3,P19,120,96,24,1.6344685996695638,1.2803030303030303,-0.3357438016528924,-0.3292871900826446
individual,P19,P19,valence,eeg,knn,5,5,4,P19,120,96,24,2.1135110341785244,1.8029527591004066,-0.662113075942093,-0.6128473385037199
individual,P19,P19,valence,eeg,knn,5,5,5,P19,120,96,24,1.8083027569306203,1.4693225702810269,-1.0675041753857086,-0.9717953376004442
individual,P22,P22,valence,eeg,knn,5,5,1,P22,120,96,24,2.240990532664766,1.9696969696969697,-0.4728585615458414,-0.33039336149871223
individual,P22,P22,valence,eeg,knn,5,5,2,P22,120,96,24,2.24593358919511,1.9642857142857144,-0.31827104707581744,-0.29512204155709476
individual,P22,P22,valence,eeg,knn,5,5,3,P22,120,96,24,2.264226526451229,1.9924242424242424,0.002367656913111471,0.04257315166406073
individual,P22,P22,valence,eeg,knn,5,5,4,P22,120,96,24,2.229127242770769,1.924242424242424,-0.011002741197660981,-0.009029312423551428
individual,P22,P22,valence,eeg,knn,5,5,5,P22,120,96,24,2.773410248721508,2.2159090909090913,-0.41323104907271935,-0.17120487168334075
individual,P25,P25,valence,eeg,knn,5,5,1,P25,120,96,24,1.8653908961910066,1.5871212121212122,0.10522432113341207,0.10522801062573772
individual,P25,P25,valence,eeg,knn,5,5,2,P25,120,96,24,2.0218333060258384,1.7159090909090908,-0.0683205591636542,-0.035888917220380456
individual,P25,P25,valence,eeg,knn,5,5,3,P25,120,96,24,1.7409987037092682,1.40706402594883,-0.8494703984309269,-0.6336515480122467
individual,P25,P25,valence,eeg,knn,5,5,4,P25,120,96,24,2.1508214844219964,1.984848484848485,-0.40611875531520525,-0.33012930940491536
individual,P25,P25,valence,eeg,knn,5,5,5,P25,120,96,24,1.9291871566541823,1.6590909090909092,-0.35336839469070846,-0.34232824108857174
individual,P32,P32,valence,eeg,knn,5,5,1,P32,120,96,24,1.6768969768815196,1.515151515151515,-0.1944708549696481,-0.07840269143567613
individual,P32,P32,valence,eeg,knn,5,5,2,P32,120,96,24,1.7593665199854613,1.4131011772655053,-0.2845341770518397,-0.2819725165206868
individual,P32,P32,valence,eeg,knn,5,5,3,P32,120,96,24,1.5,1.1893939393939394,-0.14995563442768423,-0.14851833654769853
individual,P32,P32,valence,eeg,knn,5,5,4,P32,120,96,24,1.5473473257664143,1.125,-0.22369781545388534,-0.05203604977743881
