mode,participant,held_out_participant,target,modality,classifier,feature_count_request,feature_count_resolved,fold,training_participants,sample_size,train_size,test_size,low_count,high_count,balanced_accuracy,accuracy,precision,recall,f1,tn,fp,fn,tp,representation,source_run,low_recall
individual,P19,P19,valence,eeg,svm,5,5,3,P19,120,96,24,43,77,0.5666666666666667,0.625,0.6666666666666666,0.8,0.7272727272727273,3,6,3,12,with_ICA,p19_final,0.3333333333333333
individual,P19,P19,valence,eeg,svm,5,5,4,P19,120,96,24,43,77,0.5,0.6666666666666666,0.6666666666666666,1.0,0.8,0,8,0,16,with_ICA,p19_final,0.0
individual,P19,P19,valence,eeg,svm,5,5,5,P19,120,96,24,43,77,0.5,0.6666666666666666,0.6666666666666666,1.0,0.8,0,8,0,16,with_ICA,p19_final,0.0
individual,P19,P19,valence,eeg,svm,10,10,1,P19,120,96,24,43,77,0.5777777777777777,0.6666666666666666,0.6666666666666666,0.9333333333333333,0.7777777777777778,2,7,1,14,with_ICA,p19_final,0.2222222222222222
individual,P19,P19,valence,eeg,svm,10,10,2,P19,120,96,24,43,77,0.6111111111111112,0.7083333333333334,0.6818181818181818,1.0,0.8108108108108109,2,7,0,15,with_ICA,p19_final,0.2222222222222222
individual,P19,P19,valence,eeg,svm,10,10,3,P19,120,96,24,43,77,0.6,0.6666666666666666,0.6842105263157895,0.8666666666666667,0.7647058823529411,3,6,2,13,with_ICA,p19_final,0.3333333333333333
individual,P19,P19,valence,eeg,svm,10,10,4,P19,120,96,24,43,77,0.46875,0.625,0.6521739130434783,0.9375,0.7692307692307693,0,8,1,15,with_ICA,p19_final,0.0
individual,P19,P19,valence,eeg,svm,10,10,5,P19,120,96,24,43,77,0.46875,0.4583333333333333,0.6363636363636364,0.4375,0.5185185185185185,4,4,9,7,with_ICA,p19_final,0.5
individual,P19,P19,valence,eeg,svm,20,20,1,P19,120,96,24,43,77,0.6555555555555556,0.7083333333333334,0.7222222222222222,0.8666666666666667,0.7878787878787878,4,5,2,13,with_ICA,p19_final,0.4444444444444444
individual,P19,P19,valence,eeg,svm,20,20,2,P19,120,96,24,43,77,0.5222222222222223,0.625,0.6363636363636364,0.9333333333333333,0.7567567567567568,1,8,1,14,with_ICA,p19_final,0.1111111111111111
individual,P19,P19,valence,eeg,svm,20,20,3,P19,120,96,24,43,77,0.5,0.5416666666666666,0.625,0.6666666666666666,0.6451612903225806,3,6,5,10,with_ICA,p19_final,0.3333333333333333
individual,P19,P19,valence,eeg,svm,20,20,4,P19,120,96,24,43,77,0.4375,0.5833333333333334,0.6363636363636364,0.875,0.7368421052631579,0,8,2,14,with_ICA,p19_final,0.0
individual,P19,P19,valence,eeg,svm,20,20,5,P19,120,96,24,43,77,0.625,0.6666666666666666,0.75,0.75,0.75,4,4,4,12,with_ICA,p19_final,0.5
individual,P19,P19,valence,eeg,gnb,all,all,1,P19,120,96,24,43,77,0.45555555555555555,0.4583333333333333,0.5833333333333334,0.4666666666666667,0.5185185185185185,4,5,8,7,with_ICA,p19_final,0.4444444444444444
individual,P19,P19,valence,eeg,gnb,all,all,2,P19,120,96,24,43,77,0.6,0.5833333333333334,0.7272727272727273,0.5333333333333333,0.6153846153846154,6,3,7,8,with_ICA,p19_final,0.6666666666666666
individual,P19,P19,valence,eeg,gnb,all,all,3,P19,120,96,24,43,77,0.4888888888888889,0.5,0.6153846153846154,0.5333333333333333,0.5714285714285714,4,5,7,8,with_ICA,p19_final,0.4444444444444444
individual,P19,P19,valence,eeg,gnb,all,all,4,P19,120,96,24,43,77,0.5625,0.625,0.7058823529411765,0.75,0.7272727272727273,3,5,4,12,with_ICA,p19_final,0.375
individual,P19,P19,valence,eeg,gnb,all,all,5,P19,120,96,24,43,77,0.625,0.5833333333333334,0.8,0.5,0.6153846153846154,6,2,8,8,with_ICA,p19_final,0.75
individual,P19,P19,valence,eeg,gnb,5,5,1,P19,120,96,24,43,77,0.6111111111111112,0.625,0.7142857142857143,0.6666666666666666,0.6896551724137931,5,4,5,10,with_ICA,p19_final,0.5555555555555556
individual,P19,P19,valence,eeg,gnb,5,5,2,P19,120,96,24,43,77,0.7,0.7083333333333334,0.7857142857142857,0.7333333333333333,0.7586206896551724,6,3,4,11,with_ICA,p19_final,0.6666666666666666
individual,P19,P19,valence,eeg,gnb,5,5,3,P19,120,96,24,43,77,0.5333333333333333,0.5833333333333334,0.6470588235294118,0.7333333333333333,0.6875,3,6,4,11,with_ICA,p19_final,0.3333333333333333
individual,P19,P19,valence,eeg,gnb,5,5,4,P19,120,96,24,43,77,0.46875,0.5833333333333334,0.65,0.8125,0.7222222222222222,1,7,3,13,with_ICA,p19_final,0.125
individual,P19,P19,valence,eeg,gnb,5,5,5,P19,120,96,24,43,77,0.6875,0.7083333333333334,0.8,0.75,0.7741935483870968,5,3,4,12,with_ICA,p19_final,0.625
individual,P19,P19,valence,eeg,gnb,10,10,1,P19,120,96,24,43,77,0.5777777777777777,0.5833333333333334,0.6923076923076923,0.6,0.6428571428571429,5,4,6,9,with_ICA,p19_final,0.5555555555555556
individual,P19,P19,valence,eeg,gnb,10,10,2,P19,120,96,24,43,77,0.7333333333333334,0.75,0.8,0.8,0.8,6,3,3,12,with_ICA,p19_final,0.6666666666666666
individual,P19,P19,valence,eeg,gnb,10,10,3,P19,120,96,24,43,77,0.5333333333333333,0.5833333333333334,0.6470588235294118,0.7333333333333333,0.6875,3,6,4,11,with_ICA,p19_final,0.3333333333333333
individual,P19,P19,valence,eeg,gnb,10,10,4,P19,120,96,24,43,77,0.53125,0.625,0.6842105263157895,0.8125,0.7428571428571429,2,6,3,13,with_ICA,p19_final,0.25
individual,P19,P19,valence,eeg,gnb,10,10,5,P19,120,96,24,43,77,0.625,0.625,0.7692307692307693,0.625,0.6896551724137931,5,3,6,10,with_ICA,p19_final,0.625
individual,P19,P19,valence,eeg,gnb,20,20,1,P19,120,96,24,43,77,0.5222222222222221,0.5416666666666666,0.6428571428571429,0.6,0.6206896551724138,4,5,6,9,with_ICA,p19_final,0.4444444444444444
individual,P19,P19,valence,eeg,gnb,20,20,2,P19,120,96,24,43,77,0.6,0.5833333333333334,0.7272727272727273,0.5333333333333333,0.6153846153846154,6,3,7,8,with_ICA,p19_final,0.6666666666666666
individual,P19,P19,valence,eeg,gnb,20,20,3,P19,120,96,24,43,77,0.5222222222222221,0.5416666666666666,0.6428571428571429,0.6,0.6206896551724138,4,5,6,9,with_ICA,p19_final,0.4444444444444444
individual,P19,P19,valence,eeg,gnb,20,20,4,P19,120,96,24,43,77,0.5,0.5833333333333334,0.6666666666666666,0.75,0.7058823529411765,2,6,4,12,with_ICA,p19_final,0.25
individual,P19,P19,valence,eeg,gnb,20,20,5,P19,120,96,24,43,77,0.625,0.625,0.7692307692307693,0.625,0.6896551724137931,5,3,6,10,with_ICA,p19_final,0.625
individual,P19,P19,arousal,eeg,knn,all,all,1,P19,120,96,24,65,55,0.6958041958041958,0.7083333333333334,0.75,0.5454545454545454,0.631578947368421,11,2,5,6,with_ICA,p19_final,0.8461538461538461
individual,P19,P19,arousal,eeg,knn,all,all,2,P19,120,96,24,65,55,0.7027972027972028,0.7083333333333334,0.7,0.6363636363636364,0.6666666666666666,10,3,4,7,with_ICA,p19_final,0.7692307692307693
individual,P19,P19,arousal,eeg,knn,all,all,3,P19,120,96,24,65,55,0.5734265734265734,0.5833333333333334,0.5555555555555556,0.45454545454545453,0.5,9,4,6,5,with_ICA,p19_final,0.6923076923076923
individual,P19,P19,arousal,eeg,knn,all,all,4,P19,120,96,24,65,55,0.3951048951048951,0.375,0.3888888888888889,0.6363636363636364,0.4827586206896552,2,11,4,7,with_ICA,p19_final,0.15384615384615385
individual,P19,P19,arousal,eeg,knn,all,all,5,P19,120,96,24,65,55,0.5804195804195804,0.5833333333333334,0.5454545454545454,0.5454545454545454,0.5454545454545454,8,5,5,6,with_ICA,p19_final,0.6153846153846154
individual,P19,P19,arousal,eeg,knn,5,5,1,P19,120,96,24,65,55,0.6643356643356644,0.6666666666666666,0.6363636363636364,0.6363636363636364,0.6363636363636364,9,4,4,7,with_ICA,p19_final,0.6923076923076923
individual,P19,P19,arousal,eeg,knn,5,5,2,P19,120,96,24,65,55,0.6958041958041958,0.7083333333333334,0.75,0.5454545454545454,0.631578947368421,11,2,5,6,with_ICA,p19_final,0.8461538461538461
